Year,FutureMean,CurrentMean,FutureMedian,FutureP10,FutureP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,3156284,3064354,3147844,3024014,3304333,1.82%,-1.15%,6.82%,3.70%
2,3220915,3036021,3203494,3026164,3440665,2.04%,-0.93%,7.07%,3.95%
3,3279228,3021493,3243869,3018967,3571827,1.78%,-0.50%,6.80%,4.40%
4,3368201,3033698,3358754,3056056,3700339,2.69%,0.38%,7.71%,5.29%
5,3452429,3039648,3441141,3075794,3848779,2.47%,0.16%,7.42%,5.01%
6,3617249,3113160,3572590,3247908,3966392,4.91%,2.56%,7.42%,5.00%
7,3891638,3274008,3862794,3495133,4308675,7.62%,5.20%,7.48%,5.07%
8,4192505,3447825,4141289,3717007,4707683,7.70%,5.27%,7.47%,5.05%
9,4497163,3615220,4441658,3957008,5133608,7.23%,4.82%,7.00%,4.59%
10,4809409,3779307,4756604,4171789,5453257,6.90%,4.50%,6.68%,4.28%
11,5147679,3950317,5078662,4434328,5973887,7.02%,4.51%,6.78%,4.28%
12,5541964,4153214,5470965,4740614,6483467,7.66%,5.13%,7.44%,4.92%
13,5962375,4363549,5910758,4971076,7012506,7.54%,5.02%,7.33%,4.82%
14,6403295,4576402,6338354,5326313,7533899,7.40%,4.88%,7.18%,4.67%
15,6610605,4613833,6479432,5509335,7815504,3.17%,0.75%,6.69%,4.19%
16,6711276,4574313,6655981,5423808,8109000,1.42%,-0.96%,5.09%,2.62%
17,7038751,4685073,6925482,5676557,8673064,4.76%,2.31%,8.25%,5.71%
18,7604599,4943074,7426330,6040825,9389867,7.92%,5.39%,11.14%,8.53%
19,8715190,5532198,8425800,6774093,10913917,14.44%,11.76%,18.35%,15.58%
20,9000277,5579263,8720746,6920233,11336137,3.13%,0.71%,7.10%,4.59%
21,9282324,5630238,9047611,6939159,11851798,2.98%,0.76%,6.90%,4.60%
22,9611009,5704113,9440034,7066599,12383934,3.33%,1.10%,7.24%,4.93%
23,9941165,5773053,9674508,7161908,12894776,3.29%,1.07%,7.15%,4.84%
24,10768027,6118619,10458194,7529395,14262487,8.08%,5.75%,11.55%,9.15%
25,11198116,6226032,10820085,7759710,14970065,3.87%,1.63%,7.48%,5.16%
26,11009793,5989556,10667438,7510463,14782597,-1.93%,-4.04%,1.92%,-0.27%
27,12019280,6397983,11487589,8061090,16112606,8.79%,6.45%,12.23%,9.82%
28,12524179,6523235,11957396,8122635,17082471,3.89%,1.65%,7.35%,5.04%
29,12899963,6574327,12214597,7946752,17781030,2.61%,0.40%,6.94%,4.64%
30,13178208,6571557,12567572,8145578,18914492,1.84%,-0.35%,7.35%,5.04%
31,13482756,6578695,12685357,8137740,19315322,2.02%,-0.17%,7.50%,5.18%
32,13718793,6549770,12981977,8383828,19596461,1.54%,-0.64%,6.97%,4.67%
33,14014852,6547082,13483699,8148769,20318536,1.88%,-0.31%,7.33%,5.02%
34,14319595,6545444,13734237,8377200,21119207,2.02%,-0.17%,7.43%,5.12%
35,14636918,6546469,13978745,8583784,21681516,1.95%,-0.25%,7.34%,5.02%
36,14979156,6555320,13936903,8404189,22336928,1.91%,-0.28%,7.19%,4.88%
37,15326537,6562959,14050082,8540720,23601351,1.99%,-0.21%,7.25%,4.94%
38,15697948,6577300,14378429,8668875,25028396,2.05%,-0.15%,7.08%,4.78%
39,16033219,6573166,14457644,8711545,26245732,1.98%,-0.22%,7.00%,4.70%
40,16468410,6606245,15100930,8815663,27051617,2.52%,0.32%,7.39%,5.08%
41,16926096,6643683,15586512,9054401,28357025,2.57%,0.36%,7.19%,4.88%
42,17396157,6681200,15530584,8943061,29312839,2.27%,0.07%,6.93%,4.63%
43,17955271,6747490,16217333,9013894,30790946,3.03%,0.81%,7.52%,5.21%
44,18574307,6829863,16489713,9267892,31002142,3.17%,0.95%,7.40%,5.09%
45,19201702,6908571,17400554,9306978,32679518,3.10%,0.88%,7.13%,4.82%
46,19901449,7006196,17872123,9735018,32758747,3.64%,1.41%,7.30%,4.99%
47,20753273,7148803,18910853,9929775,34493812,4.14%,1.90%,7.63%,5.32%
48,21606095,7282359,19757455,10154563,35775655,3.90%,1.66%,7.25%,4.94%
49,22550586,7437085,20996352,11228440,37410037,4.12%,1.88%,7.22%,4.91%
