Year,CurrentMean,FutureMean,CurrentMedian,CurrentP10,CurrentP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,4095612,4218481,4082319,3920664,4282537,2.89%,-0.11%,6.73%,3.62%
2,4109403,4359666,4104647,3873179,4361447,3.35%,0.34%,7.15%,4.03%
3,4145540,4499157,4124844,3822371,4494317,3.18%,0.86%,6.95%,4.54%
4,4210339,4674582,4187399,3815732,4607903,3.88%,1.55%,7.63%,5.21%
5,4272614,4852829,4267627,3863635,4748626,3.80%,1.47%,7.48%,5.06%
6,4285146,4979005,4229223,3864682,4772838,2.62%,0.31%,7.45%,5.03%
7,4304318,5116312,4287540,3793288,4820911,2.75%,0.44%,7.56%,5.14%
8,4306896,5237122,4283499,3733581,4934964,2.29%,-0.01%,7.08%,4.67%
9,4306828,5357490,4265168,3650736,5058311,2.21%,-0.08%,6.98%,4.58%
10,4291032,5460611,4260738,3553544,5028818,1.81%,-0.48%,6.61%,4.21%
11,4278566,5575421,4205368,3521494,5029064,2.02%,-0.37%,6.84%,4.34%
12,4291518,5726515,4211995,3467540,5211029,2.62%,0.21%,7.46%,4.94%
13,4307973,5886435,4259784,3413489,5216653,2.62%,0.22%,7.42%,4.90%
14,4315782,6038636,4265582,3369561,5357136,2.46%,0.06%,7.28%,4.77%
15,4302432,6164436,4212839,3283987,5384791,1.92%,-0.47%,6.72%,4.22%
16,4249680,6234986,4169699,3105077,5421925,0.86%,-1.50%,6.87%,4.36%
17,4187707,6291519,4119355,2996277,5420580,0.76%,-1.60%,7.17%,4.66%
18,4129231,6352554,4023446,2882623,5386688,0.76%,-1.60%,6.92%,4.41%
19,4066677,6406470,3967742,2848061,5343483,0.68%,-1.68%,6.87%,4.36%
20,4005238,6461115,3903972,2735588,5323011,0.66%,-1.70%,7.03%,4.53%
21,3946751,6506835,3875496,2687528,5228015,0.49%,-1.68%,6.83%,4.53%
22,3904055,6578044,3818832,2625123,5222337,0.83%,-1.34%,7.21%,4.90%
23,3851747,6632687,3816082,2493173,5204758,0.60%,-1.56%,7.12%,4.82%
24,3797126,6682481,3699935,2435299,5378456,0.37%,-1.79%,6.97%,4.67%
25,3749034,6742996,3642120,2342086,5295771,0.56%,-1.61%,7.37%,5.06%
26,3698872,6799137,3591821,2183916,5271692,0.24%,-1.92%,7.22%,4.91%
27,3652059,6860776,3586174,2046713,5244230,0.12%,-2.04%,7.19%,4.88%
28,3611066,6933007,3525272,2005010,5343224,0.12%,-2.03%,7.34%,5.03%
29,3550160,6966026,3469766,1839847,5302856,-0.70%,-2.84%,6.84%,4.54%
30,3500224,7019141,3363187,1714598,5430083,-0.73%,-2.87%,7.27%,4.97%
31,3459658,7090422,3344161,1522288,5476046,-0.99%,-3.12%,7.42%,5.11%
32,3398093,7117462,3291778,1328838,5740842,-2.45%,-4.55%,6.98%,4.67%
33,3356177,7184319,3278620,1219045,5783411,nan%,nan%,7.39%,5.07%
34,3308644,7238386,3209758,1068461,5851407,nan%,nan%,7.50%,5.18%
35,3253570,7274492,3107267,856271,5897166,nan%,nan%,7.22%,4.91%
36,3209539,7333919,3014098,670383,6153502,nan%,nan%,7.30%,4.99%
