Year,BROKERAGE-1 $Current(mean),BROKERAGE-1 $Current(median),BROKERAGE-1 $Current(p10),BROKERAGE-1 $Current(p90),BROKERAGE-1 NominalYoY(mean),BROKERAGE-1 RealYoY(mean),BROKERAGE-1__agg_nom $Current(mean),BROKERAGE-1__agg_nom $Current(median),BROKERAGE-1__agg_nom $Current(p10),BROKERAGE-1__agg_nom $Current(p90),BROKERAGE-1__agg_nom NominalYoY(mean),BROKERAGE-1__agg_nom RealYoY(mean),BROKERAGE-1__agg_nom_med $Current(mean),BROKERAGE-1__agg_nom_med $Current(median),BROKERAGE-1__agg_nom_med $Current(p10),BROKERAGE-1__agg_nom_med $Current(p90),BROKERAGE-1__agg_nom_med NominalYoY(mean),BROKERAGE-1__agg_nom_med RealYoY(mean),BROKERAGE-1__agg_real $Current(mean),BROKERAGE-1__agg_real $Current(median),BROKERAGE-1__agg_real $Current(p10),BROKERAGE-1__agg_real $Current(p90),BROKERAGE-1__agg_real NominalYoY(mean),BROKERAGE-1__agg_real RealYoY(mean),BROKERAGE-1__inv_med $Current(mean),BROKERAGE-1__inv_med $Current(median),BROKERAGE-1__inv_med $Current(p10),BROKERAGE-1__inv_med $Current(p90),BROKERAGE-1__inv_med NominalYoY(mean),BROKERAGE-1__inv_med RealYoY(mean),BROKERAGE-2 $Current(mean),BROKERAGE-2 $Current(median),BROKERAGE-2 $Current(p10),BROKERAGE-2 $Current(p90),BROKERAGE-2 NominalYoY(mean),BROKERAGE-2 RealYoY(mean),BROKERAGE-2__agg_nom $Current(mean),BROKERAGE-2__agg_nom $Current(median),BROKERAGE-2__agg_nom $Current(p10),BROKERAGE-2__agg_nom $Current(p90),BROKERAGE-2__agg_nom NominalYoY(mean),BROKERAGE-2__agg_nom RealYoY(mean),BROKERAGE-2__agg_nom_med $Current(mean),BROKERAGE-2__agg_nom_med $Current(median),BROKERAGE-2__agg_nom_med $Current(p10),BROKERAGE-2__agg_nom_med $Current(p90),BROKERAGE-2__agg_nom_med NominalYoY(mean),BROKERAGE-2__agg_nom_med RealYoY(mean),BROKERAGE-2__agg_real $Current(mean),BROKERAGE-2__agg_real $Current(median),BROKERAGE-2__agg_real $Current(p10),BROKERAGE-2__agg_real $Current(p90),BROKERAGE-2__agg_real NominalYoY(mean),BROKERAGE-2__agg_real RealYoY(mean),BROKERAGE-2__inv_med $Current(mean),BROKERAGE-2__inv_med $Current(median),BROKERAGE-2__inv_med $Current(p10),BROKERAGE-2__inv_med $Current(p90),BROKERAGE-2__inv_med NominalYoY(mean),BROKERAGE-2__inv_med RealYoY(mean),ROTH_IRA-1 $Current(mean),ROTH_IRA-1 $Current(median),ROTH_IRA-1 $Current(p10),ROTH_IRA-1 $Current(p90),ROTH_IRA-1 NominalYoY(mean),ROTH_IRA-1 RealYoY(mean),ROTH_IRA-1__agg_nom $Current(mean),ROTH_IRA-1__agg_nom $Current(median),ROTH_IRA-1__agg_nom $Current(p10),ROTH_IRA-1__agg_nom $Current(p90),ROTH_IRA-1__agg_nom NominalYoY(mean),ROTH_IRA-1__agg_nom RealYoY(mean),ROTH_IRA-1__agg_nom_med $Current(mean),ROTH_IRA-1__agg_nom_med $Current(median),ROTH_IRA-1__agg_nom_med $Current(p10),ROTH_IRA-1__agg_nom_med $Current(p90),ROTH_IRA-1__agg_nom_med NominalYoY(mean),ROTH_IRA-1__agg_nom_med RealYoY(mean),ROTH_IRA-1__agg_real $Current(mean),ROTH_IRA-1__agg_real $Current(median),ROTH_IRA-1__agg_real $Current(p10),ROTH_IRA-1__agg_real $Current(p90),ROTH_IRA-1__agg_real NominalYoY(mean),ROTH_IRA-1__agg_real RealYoY(mean),ROTH_IRA-1__inv_med $Current(mean),ROTH_IRA-1__inv_med $Current(median),ROTH_IRA-1__inv_med $Current(p10),ROTH_IRA-1__inv_med $Current(p90),ROTH_IRA-1__inv_med NominalYoY(mean),ROTH_IRA-1__inv_med RealYoY(mean),ROTH_IRA-2 $Current(mean),ROTH_IRA-2 $Current(median),ROTH_IRA-2 $Current(p10),ROTH_IRA-2 $Current(p90),ROTH_IRA-2 NominalYoY(mean),ROTH_IRA-2 RealYoY(mean),ROTH_IRA-2__agg_nom $Current(mean),ROTH_IRA-2__agg_nom $Current(median),ROTH_IRA-2__agg_nom $Current(p10),ROTH_IRA-2__agg_nom $Current(p90),ROTH_IRA-2__agg_nom NominalYoY(mean),ROTH_IRA-2__agg_nom RealYoY(mean),ROTH_IRA-2__agg_nom_med $Current(mean),ROTH_IRA-2__agg_nom_med $Current(median),ROTH_IRA-2__agg_nom_med $Current(p10),ROTH_IRA-2__agg_nom_med $Current(p90),ROTH_IRA-2__agg_nom_med NominalYoY(mean),ROTH_IRA-2__agg_nom_med RealYoY(mean),ROTH_IRA-2__agg_real $Current(mean),ROTH_IRA-2__agg_real $Current(median),ROTH_IRA-2__agg_real $Current(p10),ROTH_IRA-2__agg_real $Current(p90),ROTH_IRA-2__agg_real NominalYoY(mean),ROTH_IRA-2__agg_real RealYoY(mean),ROTH_IRA-2__inv_med $Current(mean),ROTH_IRA-2__inv_med $Current(median),ROTH_IRA-2__inv_med $Current(p10),ROTH_IRA-2__inv_med $Current(p90),ROTH_IRA-2__inv_med NominalYoY(mean),ROTH_IRA-2__inv_med RealYoY(mean),TRAD_IRA-1 $Current(mean),TRAD_IRA-1 $Current(median),TRAD_IRA-1 $Current(p10),TRAD_IRA-1 $Current(p90),TRAD_IRA-1 NominalYoY(mean),TRAD_IRA-1 RealYoY(mean),TRAD_IRA-1__agg_nom $Current(mean),TRAD_IRA-1__agg_nom $Current(median),TRAD_IRA-1__agg_nom $Current(p10),TRAD_IRA-1__agg_nom $Current(p90),TRAD_IRA-1__agg_nom NominalYoY(mean),TRAD_IRA-1__agg_nom RealYoY(mean),TRAD_IRA-1__agg_nom_med $Current(mean),TRAD_IRA-1__agg_nom_med $Current(median),TRAD_IRA-1__agg_nom_med $Current(p10),TRAD_IRA-1__agg_nom_med $Current(p90),TRAD_IRA-1__agg_nom_med NominalYoY(mean),TRAD_IRA-1__agg_nom_med RealYoY(mean),TRAD_IRA-1__agg_real $Current(mean),TRAD_IRA-1__agg_real $Current(median),TRAD_IRA-1__agg_real $Current(p10),TRAD_IRA-1__agg_real $Current(p90),TRAD_IRA-1__agg_real NominalYoY(mean),TRAD_IRA-1__agg_real RealYoY(mean),TRAD_IRA-1__inv_med $Current(mean),TRAD_IRA-1__inv_med $Current(median),TRAD_IRA-1__inv_med $Current(p10),TRAD_IRA-1__inv_med $Current(p90),TRAD_IRA-1__inv_med NominalYoY(mean),TRAD_IRA-1__inv_med RealYoY(mean),TRAD_IRA-2 $Current(mean),TRAD_IRA-2 $Current(median),TRAD_IRA-2 $Current(p10),TRAD_IRA-2 $Current(p90),TRAD_IRA-2 NominalYoY(mean),TRAD_IRA-2 RealYoY(mean),TRAD_IRA-2__agg_nom $Current(mean),TRAD_IRA-2__agg_nom $Current(median),TRAD_IRA-2__agg_nom $Current(p10),TRAD_IRA-2__agg_nom $Current(p90),TRAD_IRA-2__agg_nom NominalYoY(mean),TRAD_IRA-2__agg_nom RealYoY(mean),TRAD_IRA-2__agg_nom_med $Current(mean),TRAD_IRA-2__agg_nom_med $Current(median),TRAD_IRA-2__agg_nom_med $Current(p10),TRAD_IRA-2__agg_nom_med $Current(p90),TRAD_IRA-2__agg_nom_med NominalYoY(mean),TRAD_IRA-2__agg_nom_med RealYoY(mean),TRAD_IRA-2__agg_real $Current(mean),TRAD_IRA-2__agg_real $Current(median),TRAD_IRA-2__agg_real $Current(p10),TRAD_IRA-2__agg_real $Current(p90),TRAD_IRA-2__agg_real NominalYoY(mean),TRAD_IRA-2__agg_real RealYoY(mean),TRAD_IRA-2__inv_med $Current(mean),TRAD_IRA-2__inv_med $Current(median),TRAD_IRA-2__inv_med $Current(p10),TRAD_IRA-2__inv_med $Current(p90),TRAD_IRA-2__inv_med NominalYoY(mean),TRAD_IRA-2__inv_med RealYoY(mean)
1,414878,413566,394627,436292,6.00%,2.91%,,,,,-14.53%,,,,,,-14.81%,,,,,,-17.02%,,,,,,5.73%,,257273,256616,247147,267979,6.00%,2.91%,,,,,6.00%,,,,,,5.73%,,,,,,2.91%,,,,,,5.73%,,278625,279021,267862,290460,7.77%,4.64%,,,,,14.79%,,,,,,14.96%,,,,,,11.45%,,,,,,7.94%,,111450,111608,107144,116184,7.77%,4.64%,,,,,14.79%,,,,,,14.96%,,,,,,11.45%,,,,,,7.94%,,2057590,2051991,1973056,2148396,6.78%,3.67%,,,,,5.97%,,,,,,5.68%,,,,,,2.88%,,,,,,6.50%,,1028795,1025995,986528,1074198,6.78%,3.67%,,,,,5.97%,,,,,,5.68%,,,,,,2.88%,,,,,,6.50%,
2,425525,424398,399016,453108,6.31%,3.22%,,,,,5.64%,,,,,,5.76%,,,,,,2.57%,,,,,,6.44%,,265542,264950,250636,279594,6.31%,3.22%,,,,,6.31%,,,,,,6.44%,,,,,,3.22%,,,,,,6.44%,,310746,308824,296159,328625,8.58%,5.42%,,,,,14.89%,,,,,,14.93%,,,,,,11.54%,,,,,,8.57%,,124298,123529,118463,131450,8.58%,5.42%,,,,,14.89%,,,,,,14.93%,,,,,,11.54%,,,,,,8.57%,,2028330,2023299,1908642,2153480,7.19%,4.07%,,,,,1.53%,,,,,,1.55%,,,,,,-1.43%,,,,,,7.08%,,1062665,1060149,1002821,1125240,7.19%,4.07%,,,,,6.39%,,,,,,6.30%,,,,,,3.29%,,,,,,7.08%,
3,439022,434827,404594,477323,6.18%,3.79%,,,,,5.53%,,,,,,5.17%,,,,,,3.15%,,,,,,5.80%,,275645,273835,255227,298828,6.18%,3.79%,,,,,6.18%,,,,,,5.80%,,,,,,3.79%,,,,,,5.80%,,345645,345289,322472,369998,8.18%,5.74%,,,,,13.79%,,,,,,13.35%,,,,,,11.23%,,,,,,7.87%,,138258,138115,128988,147999,8.18%,5.74%,,,,,13.79%,,,,,,13.35%,,,,,,11.23%,,,,,,7.87%,,2008888,1994576,1847588,2189178,6.99%,4.58%,,,,,1.29%,,,,,,1.32%,,,,,,-0.98%,,,,,,6.84%,,1103292,1096195,1021333,1194668,6.99%,4.58%,,,,,6.20%,,,,,,6.07%,,,,,,3.81%,,,,,,6.84%,
4,455986,454447,412617,501826,6.89%,4.48%,,,,,6.25%,,,,,,6.14%,,,,,,3.86%,,,,,,6.82%,,287998,287312,262511,312594,6.89%,4.48%,,,,,6.89%,,,,,,6.82%,,,,,,4.48%,,,,,,6.82%,,383610,383699,354800,411318,8.50%,6.06%,,,,,13.56%,,,,,,13.39%,,,,,,11.01%,,,,,,8.38%,,153444,153479,141920,164527,8.50%,6.06%,,,,,13.56%,,,,,,13.39%,,,,,,11.01%,,,,,,8.38%,,2002647,1994280,1799050,2203871,7.70%,5.28%,,,,,1.96%,,,,,,2.09%,,,,,,-0.34%,,,,,,7.81%,,1153132,1149186,1049399,1257191,7.70%,5.28%,,,,,6.92%,,,,,,7.00%,,,,,,4.51%,,,,,,7.81%,
5,472877,472166,430455,521830,6.71%,4.31%,,,,,6.10%,,,,,,6.00%,,,,,,3.71%,,,,,,6.55%,,300396,299882,275895,328109,6.71%,4.31%,,,,,6.71%,,,,,,6.55%,,,,,,4.31%,,,,,,6.55%,,424397,423737,390965,458075,8.64%,6.20%,,,,,13.20%,,,,,,13.27%,,,,,,10.65%,,,,,,8.78%,,169759,169495,156386,183230,8.64%,6.20%,,,,,13.20%,,,,,,13.27%,,,,,,10.65%,,,,,,8.78%,,1992566,1986840,1787584,2228035,7.52%,5.10%,,,,,1.76%,,,,,,1.67%,,,,,,-0.53%,,,,,,7.37%,,1203192,1200999,1095475,1326714,7.52%,5.10%,,,,,6.74%,,,,,,6.64%,,,,,,4.34%,,,,,,7.37%,
6,490362,485872,444563,544897,6.72%,4.32%,,,,,6.13%,,,,,,5.85%,,,,,,3.74%,,,,,,6.41%,,313256,310281,284859,343917,6.72%,4.32%,,,,,6.72%,,,,,,6.41%,,,,,,4.32%,,,,,,6.41%,,466655,462987,433197,507575,8.43%,5.99%,,,,,12.55%,,,,,,12.51%,,,,,,10.02%,,,,,,8.43%,,186662,185194,173278,203030,8.43%,5.99%,,,,,12.55%,,,,,,12.51%,,,,,,10.02%,,,,,,8.43%,,1981127,1961606,1766131,2216011,7.51%,5.09%,,,,,1.72%,,,,,,1.44%,,,,,,-0.57%,,,,,,7.17%,,1254941,1245490,1136073,1380261,7.51%,5.09%,,,,,6.74%,,,,,,6.42%,,,,,,4.34%,,,,,,7.17%,
7,508944,503869,454938,566059,6.78%,4.38%,,,,,6.20%,,,,,,6.18%,,,,,,3.81%,,,,,,6.74%,,326894,324322,294075,361846,6.78%,4.38%,,,,,6.78%,,,,,,6.74%,,,,,,4.38%,,,,,,6.74%,,512864,509193,471518,560293,8.73%,6.28%,,,,,12.48%,,,,,,12.53%,,,,,,9.95%,,,,,,8.75%,,205145,203677,188607,224117,8.73%,6.28%,,,,,12.48%,,,,,,12.53%,,,,,,9.95%,,,,,,8.75%,,1971543,1965252,1708950,2227289,7.60%,5.18%,,,,,1.79%,,,,,,2.07%,,,,,,-0.50%,,,,,,7.84%,,1310381,1304268,1164759,1452669,7.60%,5.18%,,,,,6.84%,,,,,,7.10%,,,,,,4.44%,,,,,,7.84%,
8,526213,524467,458991,592612,6.29%,3.90%,,,,,5.73%,,,,,,5.76%,,,,,,3.35%,,,,,,6.35%,,339761,338806,298461,378297,6.29%,3.90%,,,,,6.29%,,,,,,6.35%,,,,,,3.90%,,,,,,6.35%,,558933,556086,510147,611671,8.07%,5.64%,,,,,11.48%,,,,,,11.58%,,,,,,8.97%,,,,,,8.04%,,223573,222434,204058,244668,8.07%,5.64%,,,,,11.48%,,,,,,11.58%,,,,,,8.97%,,,,,,8.04%,,1954271,1944761,1654651,2259732,7.14%,4.74%,,,,,1.31%,,,,,,1.39%,,,,,,-0.97%,,,,,,7.10%,,1363324,1357416,1193285,1527670,7.14%,4.74%,,,,,6.39%,,,,,,6.36%,,,,,,4.00%,,,,,,7.10%,
9,543588,541519,470335,628194,6.19%,3.80%,,,,,5.65%,,,,,,5.72%,,,,,,3.27%,,,,,,6.27%,,352776,350687,307150,406539,6.19%,3.80%,,,,,6.19%,,,,,,6.27%,,,,,,3.80%,,,,,,6.27%,,608667,605800,548330,671173,8.26%,5.82%,,,,,11.39%,,,,,,11.44%,,,,,,8.89%,,,,,,8.25%,,243466,242320,219332,268469,8.26%,5.82%,,,,,11.39%,,,,,,11.44%,,,,,,8.89%,,,,,,8.25%,,1933763,1910833,1598892,2291497,7.01%,4.60%,,,,,1.12%,,,,,,1.10%,,,,,,-1.15%,,,,,,6.94%,,1416578,1405926,1227896,1623050,7.01%,4.60%,,,,,6.26%,,,,,,6.24%,,,,,,3.87%,,,,,,6.94%,
10,559832,559324,481986,639779,5.83%,3.45%,,,,,5.30%,,,,,,4.89%,,,,,,2.93%,,,,,,5.43%,,365114,366161,315550,413094,5.83%,3.45%,,,,,5.83%,,,,,,5.43%,,,,,,3.45%,,,,,,5.43%,,657611,649094,591366,736561,7.64%,5.22%,,,,,10.52%,,,,,,10.16%,,,,,,8.04%,,,,,,7.33%,,263044,259637,236546,294624,7.64%,5.22%,,,,,10.52%,,,,,,10.16%,,,,,,8.04%,,,,,,7.33%,,1906336,1883764,1551557,2264317,6.66%,4.26%,,,,,0.70%,,,,,,0.52%,,,,,,-1.56%,,,,,,6.52%,,1467351,1467227,1259481,1663859,6.66%,4.26%,,,,,5.92%,,,,,,5.74%,,,,,,3.54%,,,,,,6.52%,
