Account,EndingFutureMean,EndingCurrentMean
BROKERAGE-1,3396801,1486540
BROKERAGE-1__conv_tax_out_cur,0,0
BROKERAGE-1__conv_tax_out_fut,0,0
BROKERAGE-1__reinvest_cur,38964,0
BROKERAGE-1__reinvest_fut,89035,0
BROKERAGE-1__rmd_out_cur,0,0
BROKERAGE-1__rmd_out_fut,0,0
BROKERAGE-1__withdrawal_out_cur,97000,0
BROKERAGE-1__withdrawal_out_fut,221648,0
BROKERAGE-2,3334336,1459203
BROKERAGE-2__conv_tax_out_cur,0,0
BROKERAGE-2__conv_tax_out_fut,0,0
BROKERAGE-2__reinvest_cur,35502,0
BROKERAGE-2__reinvest_fut,81124,0
BROKERAGE-2__rmd_out_cur,0,0
BROKERAGE-2__rmd_out_fut,0,0
BROKERAGE-2__withdrawal_out_cur,0,0
BROKERAGE-2__withdrawal_out_fut,0,0
ROTH_IRA-1,7723448,3380008
ROTH_IRA-1__conversion_in_cur,0,0
ROTH_IRA-1__conversion_in_fut,0,0
ROTH_IRA-1__reinvest_cur,0,0
ROTH_IRA-1__reinvest_fut,0,0
ROTH_IRA-1__rmd_out_cur,0,0
ROTH_IRA-1__rmd_out_fut,0,0
ROTH_IRA-1__withdrawal_out_cur,0,0
ROTH_IRA-1__withdrawal_out_fut,0,0
ROTH_IRA-2,3089379,1352003
ROTH_IRA-2__conversion_in_cur,0,0
ROTH_IRA-2__conversion_in_fut,0,0
ROTH_IRA-2__reinvest_cur,0,0
ROTH_IRA-2__reinvest_fut,0,0
ROTH_IRA-2__rmd_out_cur,0,0
ROTH_IRA-2__rmd_out_fut,0,0
ROTH_IRA-2__withdrawal_out_cur,0,0
ROTH_IRA-2__withdrawal_out_fut,0,0
TRAD_IRA-1,586262,256565
TRAD_IRA-1__conversion_out_cur,0,0
TRAD_IRA-1__conversion_out_fut,0,0
TRAD_IRA-1__reinvest_cur,0,0
TRAD_IRA-1__reinvest_fut,0,0
TRAD_IRA-1__rmd_out_cur,30184,0
TRAD_IRA-1__rmd_out_fut,68972,0
TRAD_IRA-1__withdrawal_out_cur,13442,0
TRAD_IRA-1__withdrawal_out_fut,30717,0
TRAD_IRA-2,2678995,1172407
TRAD_IRA-2__conversion_out_cur,0,0
TRAD_IRA-2__conversion_out_fut,0,0
TRAD_IRA-2__reinvest_cur,0,0
TRAD_IRA-2__reinvest_fut,0,0
TRAD_IRA-2__rmd_out_cur,137930,0
TRAD_IRA-2__rmd_out_fut,315175,0
TRAD_IRA-2__withdrawal_out_cur,80204,0
TRAD_IRA-2__withdrawal_out_fut,183270,0
