Year,FedTax,StateTax,NIIT,Excise,TaxShortfall,RealizedGains,RMD,RMD FedTax,RMD StateTax,RMD NIIT,RMD Shortfall
1,0,591,0,0,0,0,0,,,,
2,0,783,0,0,0,0,0,,,,
3,0,919,0,0,0,0,0,,,,
4,0,1004,0,0,0,0,0,,,,
5,0,1087,0,0,0,0,0,,,,
6,0,1143,0,0,0,0,0,,,,
7,0,1194,0,0,0,0,0,,,,
8,0,1223,0,0,0,0,0,,,,
9,0,1245,0,0,0,0,0,,,,
10,0,1268,0,0,0,0,0,,,,
11,0,1276,0,0,0,0,0,,,,
12,0,1282,0,0,0,0,0,,,,
13,0,1288,0,0,0,0,0,,,,
14,0,1290,0,0,0,0,0,,,,
15,0,1292,0,0,0,0,0,,,,
16,0,1291,0,0,0,0,0,,,,
17,28755,12598,0,0,0,0,153833,,,,
18,17034,7703,0,0,0,0,153392,,,,
19,17266,7796,0,0,0,0,154307,,,,
20,17642,7953,0,0,0,0,155964,,,,
21,17998,8102,0,0,0,0,157476,,,,
22,18447,8283,50,0,0,0,159367,,,,
23,18620,8352,0,0,0,0,159990,,,,
24,18906,8465,98,0,0,0,161103,,,,
25,19022,8513,103,0,0,0,161460,,,,
26,19285,8618,207,0,0,0,162392,,,,
27,19295,8619,262,0,0,0,162010,,,,
28,19263,8600,318,0,0,0,161359,,,,
29,18954,8474,326,0,0,0,159366,,,,
30,18422,8255,378,0,0,0,156207,,,,
31,18061,8108,389,0,0,0,153789,,,,
32,18679,8362,440,0,0,0,156853,,,,
33,19438,8671,597,0,0,0,160531,,,,
34,20145,8960,657,0,0,0,163987,,,,
35,20728,9203,713,0,0,0,166825,,,,
36,21038,9327,767,0,0,0,168114,,,,
