Year,BROKERAGE-1 $Future(mean),BROKERAGE-1 $Future(median),BROKERAGE-1 $Future(p10),BROKERAGE-1 $Future(p90),BROKERAGE-1 NominalYoY(mean),BROKERAGE-1 RealYoY(mean),BROKERAGE-1__agg_nom $Future(mean),BROKERAGE-1__agg_nom $Future(median),BROKERAGE-1__agg_nom $Future(p10),BROKERAGE-1__agg_nom $Future(p90),BROKERAGE-1__agg_nom NominalYoY(mean),BROKERAGE-1__agg_nom RealYoY(mean),BROKERAGE-1__agg_nom_med $Future(mean),BROKERAGE-1__agg_nom_med $Future(median),BROKERAGE-1__agg_nom_med $Future(p10),BROKERAGE-1__agg_nom_med $Future(p90),BROKERAGE-1__agg_nom_med NominalYoY(mean),BROKERAGE-1__agg_nom_med RealYoY(mean),BROKERAGE-1__agg_real $Future(mean),BROKERAGE-1__agg_real $Future(median),BROKERAGE-1__agg_real $Future(p10),BROKERAGE-1__agg_real $Future(p90),BROKERAGE-1__agg_real NominalYoY(mean),BROKERAGE-1__agg_real RealYoY(mean),BROKERAGE-1__inv_med $Future(mean),BROKERAGE-1__inv_med $Future(median),BROKERAGE-1__inv_med $Future(p10),BROKERAGE-1__inv_med $Future(p90),BROKERAGE-1__inv_med NominalYoY(mean),BROKERAGE-1__inv_med RealYoY(mean),BROKERAGE-2 $Future(mean),BROKERAGE-2 $Future(median),BROKERAGE-2 $Future(p10),BROKERAGE-2 $Future(p90),BROKERAGE-2 NominalYoY(mean),BROKERAGE-2 RealYoY(mean),BROKERAGE-2__agg_nom $Future(mean),BROKERAGE-2__agg_nom $Future(median),BROKERAGE-2__agg_nom $Future(p10),BROKERAGE-2__agg_nom $Future(p90),BROKERAGE-2__agg_nom NominalYoY(mean),BROKERAGE-2__agg_nom RealYoY(mean),BROKERAGE-2__agg_nom_med $Future(mean),BROKERAGE-2__agg_nom_med $Future(median),BROKERAGE-2__agg_nom_med $Future(p10),BROKERAGE-2__agg_nom_med $Future(p90),BROKERAGE-2__agg_nom_med NominalYoY(mean),BROKERAGE-2__agg_nom_med RealYoY(mean),BROKERAGE-2__agg_real $Future(mean),BROKERAGE-2__agg_real $Future(median),BROKERAGE-2__agg_real $Future(p10),BROKERAGE-2__agg_real $Future(p90),BROKERAGE-2__agg_real NominalYoY(mean),BROKERAGE-2__agg_real RealYoY(mean),BROKERAGE-2__inv_med $Future(mean),BROKERAGE-2__inv_med $Future(median),BROKERAGE-2__inv_med $Future(p10),BROKERAGE-2__inv_med $Future(p90),BROKERAGE-2__inv_med NominalYoY(mean),BROKERAGE-2__inv_med RealYoY(mean),ROTH_IRA-1 $Future(mean),ROTH_IRA-1 $Future(median),ROTH_IRA-1 $Future(p10),ROTH_IRA-1 $Future(p90),ROTH_IRA-1 NominalYoY(mean),ROTH_IRA-1 RealYoY(mean),ROTH_IRA-1__agg_nom $Future(mean),ROTH_IRA-1__agg_nom $Future(median),ROTH_IRA-1__agg_nom $Future(p10),ROTH_IRA-1__agg_nom $Future(p90),ROTH_IRA-1__agg_nom NominalYoY(mean),ROTH_IRA-1__agg_nom RealYoY(mean),ROTH_IRA-1__agg_nom_med $Future(mean),ROTH_IRA-1__agg_nom_med $Future(median),ROTH_IRA-1__agg_nom_med $Future(p10),ROTH_IRA-1__agg_nom_med $Future(p90),ROTH_IRA-1__agg_nom_med NominalYoY(mean),ROTH_IRA-1__agg_nom_med RealYoY(mean),ROTH_IRA-1__agg_real $Future(mean),ROTH_IRA-1__agg_real $Future(median),ROTH_IRA-1__agg_real $Future(p10),ROTH_IRA-1__agg_real $Future(p90),ROTH_IRA-1__agg_real NominalYoY(mean),ROTH_IRA-1__agg_real RealYoY(mean),ROTH_IRA-1__inv_med $Future(mean),ROTH_IRA-1__inv_med $Future(median),ROTH_IRA-1__inv_med $Future(p10),ROTH_IRA-1__inv_med $Future(p90),ROTH_IRA-1__inv_med NominalYoY(mean),ROTH_IRA-1__inv_med RealYoY(mean),ROTH_IRA-2 $Future(mean),ROTH_IRA-2 $Future(median),ROTH_IRA-2 $Future(p10),ROTH_IRA-2 $Future(p90),ROTH_IRA-2 NominalYoY(mean),ROTH_IRA-2 RealYoY(mean),ROTH_IRA-2__agg_nom $Future(mean),ROTH_IRA-2__agg_nom $Future(median),ROTH_IRA-2__agg_nom $Future(p10),ROTH_IRA-2__agg_nom $Future(p90),ROTH_IRA-2__agg_nom NominalYoY(mean),ROTH_IRA-2__agg_nom RealYoY(mean),ROTH_IRA-2__agg_nom_med $Future(mean),ROTH_IRA-2__agg_nom_med $Future(median),ROTH_IRA-2__agg_nom_med $Future(p10),ROTH_IRA-2__agg_nom_med $Future(p90),ROTH_IRA-2__agg_nom_med NominalYoY(mean),ROTH_IRA-2__agg_nom_med RealYoY(mean),ROTH_IRA-2__agg_real $Future(mean),ROTH_IRA-2__agg_real $Future(median),ROTH_IRA-2__agg_real $Future(p10),ROTH_IRA-2__agg_real $Future(p90),ROTH_IRA-2__agg_real NominalYoY(mean),ROTH_IRA-2__agg_real RealYoY(mean),ROTH_IRA-2__inv_med $Future(mean),ROTH_IRA-2__inv_med $Future(median),ROTH_IRA-2__inv_med $Future(p10),ROTH_IRA-2__inv_med $Future(p90),ROTH_IRA-2__inv_med NominalYoY(mean),ROTH_IRA-2__inv_med RealYoY(mean),TRAD_IRA-1 $Future(mean),TRAD_IRA-1 $Future(median),TRAD_IRA-1 $Future(p10),TRAD_IRA-1 $Future(p90),TRAD_IRA-1 NominalYoY(mean),TRAD_IRA-1 RealYoY(mean),TRAD_IRA-1__agg_nom $Future(mean),TRAD_IRA-1__agg_nom $Future(median),TRAD_IRA-1__agg_nom $Future(p10),TRAD_IRA-1__agg_nom $Future(p90),TRAD_IRA-1__agg_nom NominalYoY(mean),TRAD_IRA-1__agg_nom RealYoY(mean),TRAD_IRA-1__agg_nom_med $Future(mean),TRAD_IRA-1__agg_nom_med $Future(median),TRAD_IRA-1__agg_nom_med $Future(p10),TRAD_IRA-1__agg_nom_med $Future(p90),TRAD_IRA-1__agg_nom_med NominalYoY(mean),TRAD_IRA-1__agg_nom_med RealYoY(mean),TRAD_IRA-1__agg_real $Future(mean),TRAD_IRA-1__agg_real $Future(median),TRAD_IRA-1__agg_real $Future(p10),TRAD_IRA-1__agg_real $Future(p90),TRAD_IRA-1__agg_real NominalYoY(mean),TRAD_IRA-1__agg_real RealYoY(mean),TRAD_IRA-1__inv_med $Future(mean),TRAD_IRA-1__inv_med $Future(median),TRAD_IRA-1__inv_med $Future(p10),TRAD_IRA-1__inv_med $Future(p90),TRAD_IRA-1__inv_med NominalYoY(mean),TRAD_IRA-1__inv_med RealYoY(mean),TRAD_IRA-2 $Future(mean),TRAD_IRA-2 $Future(median),TRAD_IRA-2 $Future(p10),TRAD_IRA-2 $Future(p90),TRAD_IRA-2 NominalYoY(mean),TRAD_IRA-2 RealYoY(mean),TRAD_IRA-2__agg_nom $Future(mean),TRAD_IRA-2__agg_nom $Future(median),TRAD_IRA-2__agg_nom $Future(p10),TRAD_IRA-2__agg_nom $Future(p90),TRAD_IRA-2__agg_nom NominalYoY(mean),TRAD_IRA-2__agg_nom RealYoY(mean),TRAD_IRA-2__agg_nom_med $Future(mean),TRAD_IRA-2__agg_nom_med $Future(median),TRAD_IRA-2__agg_nom_med $Future(p10),TRAD_IRA-2__agg_nom_med $Future(p90),TRAD_IRA-2__agg_nom_med NominalYoY(mean),TRAD_IRA-2__agg_nom_med RealYoY(mean),TRAD_IRA-2__agg_real $Future(mean),TRAD_IRA-2__agg_real $Future(median),TRAD_IRA-2__agg_real $Future(p10),TRAD_IRA-2__agg_real $Future(p90),TRAD_IRA-2__agg_real NominalYoY(mean),TRAD_IRA-2__agg_real RealYoY(mean),TRAD_IRA-2__inv_med $Future(mean),TRAD_IRA-2__inv_med $Future(median),TRAD_IRA-2__inv_med $Future(p10),TRAD_IRA-2__inv_med $Future(p90),TRAD_IRA-2__inv_med NominalYoY(mean),TRAD_IRA-2__inv_med RealYoY(mean)
1,371759,369893,351714,394736,5.80%,2.72%,,,,,-25.65%,,,,,,-26.02%,,,,,,-27.81%,,,,,,5.43%,,264503,263570,254480,275991,5.80%,2.72%,,,,,5.80%,,,,,,5.43%,,,,,,2.72%,,,,,,5.43%,,285500,286232,273106,298817,7.56%,4.43%,,,,,14.20%,,,,,,14.49%,,,,,,10.87%,,,,,,7.85%,,137040,137391,131091,143432,7.56%,4.43%,,,,,14.20%,,,,,,14.49%,,,,,,10.87%,,,,,,7.85%,,3709987,3699600,3557223,3862537,6.51%,3.41%,,,,,6.00%,,,,,,5.70%,,,,,,2.91%,,,,,,6.21%,,1377995,1374137,1321254,1434656,6.51%,3.41%,,,,,6.00%,,,,,,5.70%,,,,,,2.91%,,,,,,6.21%,
2,397694,397342,363297,439335,6.33%,3.24%,,,,,6.94%,,,,,,6.82%,,,,,,3.83%,,,,,,6.24%,,281300,281124,264014,302167,6.33%,3.24%,,,,,6.33%,,,,,,6.24%,,,,,,3.24%,,,,,,6.24%,,325995,326364,304390,347166,8.17%,5.02%,,,,,14.17%,,,,,,14.54%,,,,,,10.84%,,,,,,8.49%,,156477,156655,146107,166639,8.17%,5.02%,,,,,14.17%,,,,,,14.54%,,,,,,10.84%,,,,,,8.49%,,3959448,3945239,3719792,4246299,7.21%,4.08%,,,,,6.71%,,,,,,6.72%,,,,,,3.60%,,,,,,7.21%,,1470652,1465374,1381637,1577196,7.21%,4.08%,,,,,6.71%,,,,,,6.72%,,,,,,3.60%,,,,,,7.21%,
3,428457,429223,385850,473606,6.71%,4.31%,,,,,7.75%,,,,,,7.71%,,,,,,5.33%,,,,,,6.74%,,300171,300618,278742,322872,6.71%,4.31%,,,,,6.71%,,,,,,6.74%,,,,,,4.31%,,,,,,6.74%,,372575,373587,350820,399146,8.94%,6.49%,,,,,14.32%,,,,,,14.12%,,,,,,11.75%,,,,,,8.72%,,178836,179321,168393,191590,8.94%,6.49%,,,,,14.32%,,,,,,14.12%,,,,,,11.75%,,,,,,8.72%,,4238435,4241468,3925578,4564550,7.53%,5.11%,,,,,7.05%,,,,,,6.75%,,,,,,4.64%,,,,,,7.23%,,1574275,1575402,1458072,1695404,7.53%,5.11%,,,,,7.05%,,,,,,6.75%,,,,,,4.64%,,,,,,7.23%,
4,457258,453706,404923,509149,6.02%,3.64%,,,,,6.74%,,,,,,6.63%,,,,,,4.34%,,,,,,5.94%,,318224,316473,291923,344208,6.02%,3.64%,,,,,6.02%,,,,,,5.94%,,,,,,3.64%,,,,,,5.94%,,421537,420581,392023,447792,8.37%,5.93%,,,,,13.18%,,,,,,12.82%,,,,,,10.64%,,,,,,7.83%,,202337,201879,188171,214940,8.37%,5.93%,,,,,13.18%,,,,,,12.82%,,,,,,10.64%,,,,,,7.83%,,4513579,4498705,4165598,4858598,6.96%,4.55%,,,,,6.50%,,,,,,6.45%,,,,,,4.10%,,,,,,6.89%,,1676472,1670947,1547222,1804622,6.96%,4.55%,,,,,6.50%,,,,,,6.45%,,,,,,4.10%,,,,,,6.89%,
5,487501,487584,422999,556832,5.93%,3.55%,,,,,6.56%,,,,,,6.37%,,,,,,4.17%,,,,,,5.77%,,337187,337410,304380,372577,5.93%,3.55%,,,,,5.93%,,,,,,5.77%,,,,,,3.55%,,,,,,5.77%,,473758,471883,438126,511735,8.04%,5.61%,,,,,12.40%,,,,,,12.08%,,,,,,9.87%,,,,,,7.76%,,227403,226503,210300,245632,8.04%,5.61%,,,,,12.40%,,,,,,12.08%,,,,,,9.87%,,,,,,7.76%,,4797644,4783432,4330456,5249770,6.70%,4.30%,,,,,6.26%,,,,,,6.13%,,,,,,3.87%,,,,,,6.56%,,1781982,1776703,1608455,1949914,6.70%,4.30%,,,,,6.26%,,,,,,6.13%,,,,,,3.87%,,,,,,6.56%,
6,521738,517692,448705,613764,6.26%,3.87%,,,,,6.99%,,,,,,6.26%,,,,,,4.59%,,,,,,5.74%,,358377,356314,321517,404994,6.26%,3.87%,,,,,6.26%,,,,,,5.74%,,,,,,3.87%,,,,,,5.74%,,530622,523948,489337,588609,8.04%,5.61%,,,,,12.01%,,,,,,11.71%,,,,,,9.49%,,,,,,7.61%,,254698,251495,234882,282532,8.04%,5.61%,,,,,12.01%,,,,,,11.71%,,,,,,9.49%,,,,,,7.61%,,5115737,5089641,4601946,5764137,7.05%,4.64%,,,,,6.62%,,,,,,6.10%,,,,,,4.23%,,,,,,6.55%,,1900131,1890438,1709294,2140965,7.05%,4.64%,,,,,6.62%,,,,,,6.10%,,,,,,4.23%,,,,,,6.55%,
7,561051,548969,479921,675533,6.69%,4.30%,,,,,7.55%,,,,,,7.47%,,,,,,5.13%,,,,,,6.65%,,382369,376398,341483,439910,6.69%,4.30%,,,,,6.69%,,,,,,6.65%,,,,,,4.30%,,,,,,6.65%,,593445,586291,549667,661213,8.26%,5.82%,,,,,11.89%,,,,,,12.07%,,,,,,9.37%,,,,,,8.35%,,284853,281420,263840,317382,8.26%,5.82%,,,,,11.89%,,,,,,12.07%,,,,,,9.37%,,,,,,8.35%,,5480914,5419945,4900037,6315116,7.55%,5.13%,,,,,7.14%,,,,,,7.27%,,,,,,4.73%,,,,,,7.70%,,2035768,2013122,1820013,2345614,7.55%,5.13%,,,,,7.14%,,,,,,7.27%,,,,,,4.73%,,,,,,7.70%,
8,605904,599055,511778,729626,7.10%,4.69%,,,,,8.04%,,,,,,7.87%,,,,,,5.61%,,,,,,7.05%,,409429,406007,361875,472234,7.10%,4.69%,,,,,7.10%,,,,,,7.05%,,,,,,4.69%,,,,,,7.05%,,665385,653180,609225,737249,8.82%,6.37%,,,,,12.13%,,,,,,11.90%,,,,,,9.61%,,,,,,8.73%,,319385,313526,292428,353879,8.82%,6.37%,,,,,12.13%,,,,,,11.90%,,,,,,9.61%,,,,,,8.73%,,5891534,5842450,5177694,6783157,7.88%,5.46%,,,,,7.50%,,,,,,7.32%,,,,,,5.08%,,,,,,7.70%,,2188284,2170052,1923143,2519458,7.88%,5.46%,,,,,7.50%,,,,,,7.32%,,,,,,5.08%,,,,,,7.70%,
9,650903,645116,540349,779758,6.65%,4.25%,,,,,7.38%,,,,,,7.20%,,,,,,4.97%,,,,,,6.45%,,436777,433664,380415,501615,6.65%,4.25%,,,,,6.65%,,,,,,6.45%,,,,,,4.25%,,,,,,6.45%,,743343,737158,667695,821986,8.67%,6.23%,,,,,11.70%,,,,,,11.37%,,,,,,9.19%,,,,,,8.37%,,356804,353835,320493,394553,8.67%,6.23%,,,,,11.70%,,,,,,11.37%,,,,,,9.19%,,,,,,8.37%,,6310516,6228768,5488616,7243268,7.45%,5.03%,,,,,7.07%,,,,,,6.74%,,,,,,4.67%,,,,,,7.13%,,2343905,2313542,2038629,2690356,7.45%,5.03%,,,,,7.07%,,,,,,6.74%,,,,,,4.67%,,,,,,7.13%,
10,700063,697252,578620,837235,6.80%,4.40%,,,,,7.56%,,,,,,7.45%,,,,,,5.14%,,,,,,6.59%,,466504,465862,404596,536336,6.80%,4.40%,,,,,6.80%,,,,,,6.59%,,,,,,4.40%,,,,,,6.59%,,828296,810899,734508,941933,8.68%,6.23%,,,,,11.46%,,,,,,11.63%,,,,,,8.95%,,,,,,8.99%,,397582,389231,352564,452128,8.68%,6.23%,,,,,11.46%,,,,,,11.63%,,,,,,8.95%,,,,,,8.99%,,6770764,6688524,5760123,7810431,7.63%,5.21%,,,,,7.28%,,,,,,7.31%,,,,,,4.87%,,,,,,7.70%,,2514855,2484308,2139474,2901017,7.63%,5.21%,,,,,7.28%,,,,,,7.31%,,,,,,4.87%,,,,,,7.70%,
