Year,CurrentMean,FutureMean,CurrentMedian,CurrentP10,CurrentP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,6017755,6198287,6000315,5763802,6272319,4.70%,1.65%,6.49%,3.39%
2,6159949,6535090,6139860,5765831,6624201,5.42%,2.35%,7.16%,4.04%
3,6373288,6916934,6367613,5895407,6882593,5.84%,3.46%,7.51%,5.10%
4,6562384,7285969,6540876,6060462,7083905,5.34%,2.97%,6.93%,4.53%
5,6747982,7664349,6733021,6081254,7370343,5.15%,2.79%,6.69%,4.29%
6,6962426,8089796,6910374,6222456,7878360,5.54%,3.17%,7.02%,4.61%
7,7221611,8583941,7120020,6427893,8371077,6.10%,3.72%,7.49%,5.07%
8,7524502,9149682,7454220,6594519,8686738,6.60%,4.20%,7.85%,5.43%
9,7856614,9773257,7739070,6862554,9036531,6.82%,4.42%,7.43%,5.02%
10,8260822,10512422,8133300,7042542,9494149,7.58%,5.16%,7.61%,5.19%
11,8703174,11341151,8668315,7573253,9878232,7.91%,5.38%,7.79%,5.27%
12,9113138,12160387,9104256,7837748,10384433,7.26%,4.74%,7.12%,4.61%
13,9607427,13127635,9647930,8231224,10984867,7.98%,5.45%,7.84%,5.31%
14,10065163,14083162,10076172,8510753,11711127,7.32%,4.81%,7.19%,4.67%
15,10422406,14933008,10400019,8794678,11956678,6.00%,3.51%,7.45%,4.93%
16,10700026,15698714,10555034,9040297,12284999,5.09%,2.62%,6.51%,4.01%
17,11039460,16585442,10987844,9204297,12685545,5.63%,3.15%,7.04%,4.53%
18,11391194,17524612,11357735,9441730,13336466,5.62%,3.14%,7.01%,4.50%
19,11734349,18485796,11670616,9522018,13590959,5.36%,2.89%,7.02%,4.51%
20,12006349,19368236,11873737,9746167,14506450,4.71%,2.26%,6.35%,3.86%
21,12405580,20452530,12174378,10112269,15310431,5.53%,3.26%,7.18%,4.88%
22,12768753,21514407,12510273,10202055,15933752,5.09%,2.82%,6.73%,4.44%
23,13231194,22784045,12750994,10502861,16295975,5.80%,3.52%,7.42%,5.10%
24,13723608,24151882,13229954,10783150,17179595,5.93%,3.65%,7.53%,5.22%
25,14230630,25595151,13782354,10955855,18227073,5.85%,3.57%,7.39%,5.08%
26,14798049,27201255,14292892,11183254,18744218,6.11%,3.83%,7.58%,5.26%
27,15311006,28763326,14917714,11918386,19667205,5.72%,3.44%,7.16%,4.86%
28,15879347,30487296,15437129,12135855,21135631,5.91%,3.63%,7.26%,4.95%
29,16385498,32151172,15683612,12558062,21731203,5.35%,3.08%,6.63%,4.34%
30,16860622,33811283,16331907,12252688,21881894,5.04%,2.78%,6.97%,4.67%
31,17218739,35289076,16960674,12775905,23080695,4.33%,2.08%,7.42%,5.11%
32,17461411,36573723,16762409,12897906,23095458,3.48%,1.25%,6.53%,4.24%
33,17765441,38029159,17008312,13156492,24085548,3.91%,1.67%,7.02%,4.72%
34,18079908,39553767,17297286,13638553,24891639,4.12%,1.88%,7.25%,4.94%
35,18424633,41194702,17190268,13379067,25559195,3.86%,1.63%,7.04%,4.73%
36,18682447,42690101,17584357,13416636,25658838,3.70%,1.47%,6.89%,4.59%
37,18907598,44155081,17968270,13414158,25884078,3.43%,1.21%,6.64%,4.35%
38,19239256,45918055,17968578,13379966,26929487,4.03%,1.79%,7.25%,4.94%
39,19569414,47733573,18268627,13684549,27150256,3.90%,1.66%,7.17%,4.87%
40,19889410,49581413,18716709,13251646,27818381,3.80%,1.56%,7.16%,4.85%
41,20135763,51299839,19073337,13396424,28363376,3.28%,1.06%,6.58%,4.29%
42,20474473,53310349,19053653,13321691,29027924,3.86%,1.62%,7.20%,4.90%
43,20875007,55549011,19689966,13526713,29470423,3.84%,1.61%,7.18%,4.87%
44,21238865,57760627,19987881,13558216,30413642,3.96%,1.73%,7.29%,4.98%
45,21559848,59923501,20729058,13790281,30707514,3.89%,1.65%,7.29%,4.98%
46,21903218,62217179,21406253,14611278,30809879,3.83%,1.60%,7.16%,4.85%
47,22219721,64504777,21575162,14815357,31496547,3.59%,1.36%,6.95%,4.64%
48,22574635,66976879,21521253,15164854,32348196,3.62%,1.39%,6.93%,4.63%
49,22995736,69727227,22104521,15221678,32372769,4.20%,1.96%,7.54%,5.22%
