Year,FutureMean,CurrentMean,FutureMedian,FutureP10,FutureP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,6200565,6019966,6182545,5939009,6462880,4.74%,1.69%,6.49%,3.39%
2,6539424,6164034,6518976,6121821,7031866,5.45%,2.38%,7.16%,4.04%
3,6922880,6378766,6917683,6404976,7474489,5.86%,3.48%,7.51%,5.10%
4,7293115,6568820,7268505,6733522,7875126,5.35%,2.98%,6.93%,4.53%
5,7672330,6755009,7658929,6910838,8386782,5.16%,2.79%,6.69%,4.29%
6,8098434,6969860,8043960,7236684,9163140,5.54%,3.17%,7.02%,4.61%
7,8590612,7227223,8470176,7647173,9957784,6.07%,3.69%,7.49%,5.07%
8,9151959,7526374,9068992,8011433,10574986,6.54%,4.14%,7.85%,5.43%
9,9762821,7848225,9620076,8525694,11240074,6.67%,4.28%,7.43%,5.02%
10,10494138,8246454,10335852,8942479,12049479,7.51%,5.10%,7.61%,5.19%
11,11317696,8685174,11270624,9841622,12838596,7.88%,5.35%,7.79%,5.27%
12,12130937,9091068,12131220,10402020,13798315,7.22%,4.71%,7.12%,4.61%
13,13090419,9580190,13144326,11230779,14966820,7.94%,5.41%,7.84%,5.31%
14,14038696,10033384,14079847,11904622,16293982,7.29%,4.77%,7.19%,4.67%
15,14881991,10386799,14846769,12531402,17055792,5.97%,3.49%,7.45%,4.93%
16,15638881,10659244,15417041,13170974,17973414,5.05%,2.58%,6.51%,4.01%
17,16513522,10991589,16451012,13790073,19009167,5.57%,3.10%,7.04%,4.53%
18,17440169,11336305,17372140,14447418,20471510,5.57%,3.09%,7.01%,4.50%
19,18391016,11674186,18265544,14934594,21342364,5.33%,2.86%,7.02%,4.51%
20,19259117,11938707,19063961,15611662,23263495,4.66%,2.20%,6.35%,3.86%
21,20327426,12329697,19995122,16610624,25108099,5.48%,3.21%,7.18%,4.88%
22,21372823,12684723,20958852,17090034,26732503,5.04%,2.78%,6.73%,4.44%
23,22620774,13136380,21798678,17983724,27888860,5.73%,3.46%,7.42%,5.10%
24,23968119,13619190,23102918,18894400,30078433,5.88%,3.60%,7.53%,5.22%
25,25386751,14114762,24746637,19482829,32595172,5.79%,3.51%,7.39%,5.08%
26,26961081,14667390,26062381,20342464,34119916,6.03%,3.75%,7.58%,5.26%
27,28496884,15169177,27772663,22243904,36650721,5.67%,3.39%,7.16%,4.86%
28,30185483,15722148,29401411,23071375,40102823,5.84%,3.56%,7.26%,4.95%
29,31810127,16211689,30442170,24415487,42104568,5.28%,3.01%,6.63%,4.34%
30,33431157,16671066,32472556,24239968,43538704,4.97%,2.71%,6.97%,4.67%
31,34825478,16992534,34334427,25968530,46958666,4.12%,1.88%,7.42%,5.11%
32,36017350,17195781,34507630,26610279,47673482,3.25%,1.03%,6.53%,4.24%
33,37369495,17457277,35854320,27756999,50823067,3.68%,1.44%,7.02%,4.72%
34,38778557,17725562,37162453,28987713,53492996,3.87%,1.64%,7.25%,4.94%
35,40291438,18020641,37683450,29115220,56289488,3.61%,1.38%,7.04%,4.73%
36,41649423,18227016,39116189,29730211,57147857,3.43%,1.21%,6.89%,4.59%
37,42964002,18397568,40772939,30557785,58807367,3.15%,0.93%,6.64%,4.35%
38,44545280,18664075,41554950,31127548,62646933,3.71%,1.48%,7.25%,4.94%
39,46167113,18927210,43067903,31688525,64187796,3.58%,1.35%,7.17%,4.87%
40,47810755,19179116,45227472,31711417,67249779,3.48%,1.26%,7.16%,4.85%
41,49300544,19351018,46753752,32303968,70218437,2.92%,0.70%,6.58%,4.29%
42,51048211,19605672,47658150,32949162,72685685,3.48%,1.25%,7.20%,4.90%
43,52998287,19916459,49944104,34080523,75422696,3.44%,1.21%,7.18%,4.87%
44,54883358,20180879,51782007,35032109,78624546,3.53%,1.30%,7.29%,4.98%
45,56713081,20404772,54570848,36733122,79916352,3.46%,1.23%,7.29%,4.98%
46,58621581,20637408,56492139,38476881,83900670,3.34%,1.12%,7.16%,4.85%
47,60498005,20839523,58946092,40061445,86676533,3.09%,0.87%,6.95%,4.64%
48,62517740,21071677,59564918,41719022,90465110,3.09%,0.87%,6.93%,4.63%
49,64763497,21358720,62045102,42347526,91605669,3.67%,1.43%,7.54%,5.22%
