Account,EndingFutureMean,EndingCurrentMean
BROKERAGE-1,9570111,3156181
BROKERAGE-1__conv_tax_out_cur,0,0
BROKERAGE-1__conv_tax_out_fut,0,0
BROKERAGE-1__reinvest_cur,2523072,0
BROKERAGE-1__reinvest_fut,7650410,0
BROKERAGE-1__rmd_out_cur,0,0
BROKERAGE-1__rmd_out_fut,0,0
BROKERAGE-1__withdrawal_out_cur,120000,0
BROKERAGE-1__withdrawal_out_fut,363861,0
BROKERAGE-2,8184242,2699127
BROKERAGE-2__conv_tax_out_cur,0,0
BROKERAGE-2__conv_tax_out_fut,0,0
BROKERAGE-2__reinvest_cur,2160312,0
BROKERAGE-2__reinvest_fut,6550456,0
BROKERAGE-2__rmd_out_cur,0,0
BROKERAGE-2__rmd_out_fut,0,0
BROKERAGE-2__withdrawal_out_cur,0,0
BROKERAGE-2__withdrawal_out_fut,0,0
ROTH_IRA-1,46350525,15286202
ROTH_IRA-1__conversion_in_cur,0,0
ROTH_IRA-1__conversion_in_fut,0,0
ROTH_IRA-1__reinvest_cur,0,0
ROTH_IRA-1__reinvest_fut,0,0
ROTH_IRA-1__rmd_out_cur,0,0
ROTH_IRA-1__rmd_out_fut,0,0
ROTH_IRA-1__withdrawal_out_cur,0,0
ROTH_IRA-1__withdrawal_out_fut,0,0
ROTH_IRA-2,22248252,7337376
ROTH_IRA-2__conversion_in_cur,0,0
ROTH_IRA-2__conversion_in_fut,0,0
ROTH_IRA-2__reinvest_cur,0,0
ROTH_IRA-2__reinvest_fut,0,0
ROTH_IRA-2__rmd_out_cur,0,0
ROTH_IRA-2__rmd_out_fut,0,0
ROTH_IRA-2__withdrawal_out_cur,0,0
ROTH_IRA-2__withdrawal_out_fut,0,0
TRAD_IRA-1,70130393,23128699
TRAD_IRA-1__conversion_out_cur,0,0
TRAD_IRA-1__conversion_out_fut,0,0
TRAD_IRA-1__reinvest_cur,0,0
TRAD_IRA-1__reinvest_fut,0,0
TRAD_IRA-1__rmd_out_cur,3560801,0
TRAD_IRA-1__rmd_out_fut,10796992,0
TRAD_IRA-1__withdrawal_out_cur,145833,0
TRAD_IRA-1__withdrawal_out_fut,442193,0
TRAD_IRA-2,26048431,8590659
TRAD_IRA-2__conversion_out_cur,0,0
TRAD_IRA-2__conversion_out_fut,0,0
TRAD_IRA-2__reinvest_cur,0,0
TRAD_IRA-2__reinvest_fut,0,0
TRAD_IRA-2__rmd_out_cur,1322583,0
TRAD_IRA-2__rmd_out_fut,4010311,0
TRAD_IRA-2__withdrawal_out_cur,54166,0
TRAD_IRA-2__withdrawal_out_fut,164243,0
