Year,FutureMean,CurrentMean,FutureMedian,FutureP10,FutureP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,6108227,5930317,6090206,5846670,6370542,3.18%,0.17%,6.49%,3.39%
2,6541639,6166122,6520839,6119368,7041070,7.08%,3.96%,7.16%,4.04%
3,7031948,6479263,7026919,6506559,7595346,7.50%,5.08%,7.51%,5.10%
4,7518101,6771462,7496340,6959532,8109449,6.93%,4.52%,6.93%,4.53%
5,8023858,7064507,8021112,7254106,8749789,6.69%,4.30%,6.69%,4.29%
6,8588137,7391320,8505153,7707889,9691908,7.03%,4.62%,7.02%,4.61%
7,9231797,7766648,9094438,8260067,10664815,7.50%,5.08%,7.49%,5.07%
8,9960408,8191226,9850420,8784070,11403357,7.90%,5.48%,7.85%,5.43%
9,10712236,8611449,10579801,9354643,12280858,7.51%,5.09%,7.43%,5.02%
10,11536395,9065475,11357610,9818190,13315365,7.69%,5.27%,7.61%,5.19%
11,12438283,9545110,12383567,10743122,14211911,7.84%,5.31%,7.79%,5.27%
12,13331286,9990624,13276013,11386334,15274731,7.22%,4.70%,7.12%,4.61%
13,14392021,10532765,14441496,12302348,16556249,7.99%,5.46%,7.84%,5.31%
14,15435033,11031338,15360358,12901239,18065088,7.29%,4.77%,7.19%,4.67%
15,16601579,11586975,16580500,13965051,19082418,7.52%,5.00%,7.45%,4.93%
16,17708579,12069921,17550984,15035896,20359655,6.64%,4.14%,6.51%,4.01%
17,18991922,12641240,18969041,15804256,21870163,7.25%,4.73%,7.04%,4.53%
18,20360405,13234491,20438101,16805228,23650145,7.17%,4.66%,7.01%,4.50%
19,21815595,13848028,21782314,17665294,25101916,7.03%,4.53%,7.02%,4.51%
20,23278070,14430051,22967687,19077133,28107718,6.67%,4.17%,6.35%,3.86%
21,25029005,15181462,24496636,20433737,30684110,7.49%,5.18%,7.18%,4.88%
22,26798244,15904699,26233201,21498824,32985794,7.00%,4.70%,6.73%,4.44%
23,28887416,16775556,27970074,23145752,35210723,7.74%,5.42%,7.42%,5.10%
24,31138246,17693407,29980347,24594220,38370561,7.77%,5.45%,7.53%,5.22%
25,33548086,18652376,32405319,26360121,42035134,7.69%,5.37%,7.39%,5.08%
26,36237766,19714100,35057454,28431091,45447753,7.94%,5.62%,7.58%,5.26%
27,38897402,20705477,38282030,31051435,48682852,7.38%,5.07%,7.16%,4.86%
28,41852875,21799124,41119021,33133166,53641743,7.60%,5.28%,7.26%,4.95%
29,44782511,22822924,43780643,35563247,56845205,6.97%,4.66%,6.63%,4.34%
30,47565227,23719281,46872713,36724625,59653200,6.21%,3.93%,6.97%,4.67%
31,51241088,25002268,50436766,39450560,64731119,7.74%,5.42%,7.42%,5.11%
32,54814203,26169973,53040051,42441807,70634362,6.89%,4.59%,6.53%,4.24%
33,58839231,27486931,57149341,45979743,74595653,7.34%,5.03%,7.02%,4.72%
34,63203099,28889947,60698710,49133706,81835588,7.59%,5.28%,7.25%,4.94%
35,67946874,30389738,64842426,52482994,88882769,7.33%,5.02%,7.04%,4.73%
36,72734568,31830792,68978742,55981798,95666558,7.19%,4.88%,6.89%,4.59%
37,77722096,33281293,74897183,59317814,101480614,6.93%,4.62%,6.64%,4.35%
38,83557336,35009779,80202825,63235734,109753596,7.60%,5.29%,7.25%,4.94%
39,89763826,36800629,85368447,67677354,114412277,7.46%,5.14%,7.17%,4.87%
40,96361024,38654886,91361244,71928743,124422459,7.35%,5.03%,7.16%,4.85%
41,103059873,40452159,97954472,75055992,135843929,6.86%,4.56%,6.58%,4.29%
42,110756274,42537263,106381255,81173908,148054827,7.47%,5.16%,7.20%,4.90%
43,119250771,44813772,115585046,86677920,163852399,7.46%,5.15%,7.18%,4.87%
44,128222287,47147963,126800898,92794487,171569440,7.58%,5.27%,7.29%,4.98%
45,137579424,49499636,135524585,98953200,183083341,7.48%,5.17%,7.29%,4.98%
46,147703405,51998178,146958088,107784927,195667695,7.44%,5.13%,7.16%,4.85%
47,158284501,54523675,156100645,115483126,212705025,7.17%,4.86%,6.95%,4.64%
48,169708187,57200342,163967932,124318673,227361522,7.14%,4.83%,6.93%,4.63%
49,182531957,60198247,177483870,136262881,241307402,7.72%,5.40%,7.54%,5.22%
