Year,BROKERAGE-1 $Current(mean),BROKERAGE-1 $Current(median),BROKERAGE-1 $Current(p10),BROKERAGE-1 $Current(p90),BROKERAGE-1 NominalYoY(mean),BROKERAGE-1 RealYoY(mean),BROKERAGE-1__agg_nom $Current(mean),BROKERAGE-1__agg_nom $Current(median),BROKERAGE-1__agg_nom $Current(p10),BROKERAGE-1__agg_nom $Current(p90),BROKERAGE-1__agg_nom NominalYoY(mean),BROKERAGE-1__agg_nom RealYoY(mean),BROKERAGE-1__agg_nom_med $Current(mean),BROKERAGE-1__agg_nom_med $Current(median),BROKERAGE-1__agg_nom_med $Current(p10),BROKERAGE-1__agg_nom_med $Current(p90),BROKERAGE-1__agg_nom_med NominalYoY(mean),BROKERAGE-1__agg_nom_med RealYoY(mean),BROKERAGE-1__agg_real $Current(mean),BROKERAGE-1__agg_real $Current(median),BROKERAGE-1__agg_real $Current(p10),BROKERAGE-1__agg_real $Current(p90),BROKERAGE-1__agg_real NominalYoY(mean),BROKERAGE-1__agg_real RealYoY(mean),BROKERAGE-1__inv_med $Current(mean),BROKERAGE-1__inv_med $Current(median),BROKERAGE-1__inv_med $Current(p10),BROKERAGE-1__inv_med $Current(p90),BROKERAGE-1__inv_med NominalYoY(mean),BROKERAGE-1__inv_med RealYoY(mean),BROKERAGE-2 $Current(mean),BROKERAGE-2 $Current(median),BROKERAGE-2 $Current(p10),BROKERAGE-2 $Current(p90),BROKERAGE-2 NominalYoY(mean),BROKERAGE-2 RealYoY(mean),BROKERAGE-2__agg_nom $Current(mean),BROKERAGE-2__agg_nom $Current(median),BROKERAGE-2__agg_nom $Current(p10),BROKERAGE-2__agg_nom $Current(p90),BROKERAGE-2__agg_nom NominalYoY(mean),BROKERAGE-2__agg_nom RealYoY(mean),BROKERAGE-2__agg_nom_med $Current(mean),BROKERAGE-2__agg_nom_med $Current(median),BROKERAGE-2__agg_nom_med $Current(p10),BROKERAGE-2__agg_nom_med $Current(p90),BROKERAGE-2__agg_nom_med NominalYoY(mean),BROKERAGE-2__agg_nom_med RealYoY(mean),BROKERAGE-2__agg_real $Current(mean),BROKERAGE-2__agg_real $Current(median),BROKERAGE-2__agg_real $Current(p10),BROKERAGE-2__agg_real $Current(p90),BROKERAGE-2__agg_real NominalYoY(mean),BROKERAGE-2__agg_real RealYoY(mean),BROKERAGE-2__inv_med $Current(mean),BROKERAGE-2__inv_med $Current(median),BROKERAGE-2__inv_med $Current(p10),BROKERAGE-2__inv_med $Current(p90),BROKERAGE-2__inv_med NominalYoY(mean),BROKERAGE-2__inv_med RealYoY(mean),ROTH_IRA-1 $Current(mean),ROTH_IRA-1 $Current(median),ROTH_IRA-1 $Current(p10),ROTH_IRA-1 $Current(p90),ROTH_IRA-1 NominalYoY(mean),ROTH_IRA-1 RealYoY(mean),ROTH_IRA-1__agg_nom $Current(mean),ROTH_IRA-1__agg_nom $Current(median),ROTH_IRA-1__agg_nom $Current(p10),ROTH_IRA-1__agg_nom $Current(p90),ROTH_IRA-1__agg_nom NominalYoY(mean),ROTH_IRA-1__agg_nom RealYoY(mean),ROTH_IRA-1__agg_nom_med $Current(mean),ROTH_IRA-1__agg_nom_med $Current(median),ROTH_IRA-1__agg_nom_med $Current(p10),ROTH_IRA-1__agg_nom_med $Current(p90),ROTH_IRA-1__agg_nom_med NominalYoY(mean),ROTH_IRA-1__agg_nom_med RealYoY(mean),ROTH_IRA-1__agg_real $Current(mean),ROTH_IRA-1__agg_real $Current(median),ROTH_IRA-1__agg_real $Current(p10),ROTH_IRA-1__agg_real $Current(p90),ROTH_IRA-1__agg_real NominalYoY(mean),ROTH_IRA-1__agg_real RealYoY(mean),ROTH_IRA-1__inv_med $Current(mean),ROTH_IRA-1__inv_med $Current(median),ROTH_IRA-1__inv_med $Current(p10),ROTH_IRA-1__inv_med $Current(p90),ROTH_IRA-1__inv_med NominalYoY(mean),ROTH_IRA-1__inv_med RealYoY(mean),ROTH_IRA-2 $Current(mean),ROTH_IRA-2 $Current(median),ROTH_IRA-2 $Current(p10),ROTH_IRA-2 $Current(p90),ROTH_IRA-2 NominalYoY(mean),ROTH_IRA-2 RealYoY(mean),ROTH_IRA-2__agg_nom $Current(mean),ROTH_IRA-2__agg_nom $Current(median),ROTH_IRA-2__agg_nom $Current(p10),ROTH_IRA-2__agg_nom $Current(p90),ROTH_IRA-2__agg_nom NominalYoY(mean),ROTH_IRA-2__agg_nom RealYoY(mean),ROTH_IRA-2__agg_nom_med $Current(mean),ROTH_IRA-2__agg_nom_med $Current(median),ROTH_IRA-2__agg_nom_med $Current(p10),ROTH_IRA-2__agg_nom_med $Current(p90),ROTH_IRA-2__agg_nom_med NominalYoY(mean),ROTH_IRA-2__agg_nom_med RealYoY(mean),ROTH_IRA-2__agg_real $Current(mean),ROTH_IRA-2__agg_real $Current(median),ROTH_IRA-2__agg_real $Current(p10),ROTH_IRA-2__agg_real $Current(p90),ROTH_IRA-2__agg_real NominalYoY(mean),ROTH_IRA-2__agg_real RealYoY(mean),ROTH_IRA-2__inv_med $Current(mean),ROTH_IRA-2__inv_med $Current(median),ROTH_IRA-2__inv_med $Current(p10),ROTH_IRA-2__inv_med $Current(p90),ROTH_IRA-2__inv_med NominalYoY(mean),ROTH_IRA-2__inv_med RealYoY(mean),TRAD_IRA-1 $Current(mean),TRAD_IRA-1 $Current(median),TRAD_IRA-1 $Current(p10),TRAD_IRA-1 $Current(p90),TRAD_IRA-1 NominalYoY(mean),TRAD_IRA-1 RealYoY(mean),TRAD_IRA-1__agg_nom $Current(mean),TRAD_IRA-1__agg_nom $Current(median),TRAD_IRA-1__agg_nom $Current(p10),TRAD_IRA-1__agg_nom $Current(p90),TRAD_IRA-1__agg_nom NominalYoY(mean),TRAD_IRA-1__agg_nom RealYoY(mean),TRAD_IRA-1__agg_nom_med $Current(mean),TRAD_IRA-1__agg_nom_med $Current(median),TRAD_IRA-1__agg_nom_med $Current(p10),TRAD_IRA-1__agg_nom_med $Current(p90),TRAD_IRA-1__agg_nom_med NominalYoY(mean),TRAD_IRA-1__agg_nom_med RealYoY(mean),TRAD_IRA-1__agg_real $Current(mean),TRAD_IRA-1__agg_real $Current(median),TRAD_IRA-1__agg_real $Current(p10),TRAD_IRA-1__agg_real $Current(p90),TRAD_IRA-1__agg_real NominalYoY(mean),TRAD_IRA-1__agg_real RealYoY(mean),TRAD_IRA-1__inv_med $Current(mean),TRAD_IRA-1__inv_med $Current(median),TRAD_IRA-1__inv_med $Current(p10),TRAD_IRA-1__inv_med $Current(p90),TRAD_IRA-1__inv_med NominalYoY(mean),TRAD_IRA-1__inv_med RealYoY(mean),TRAD_IRA-2 $Current(mean),TRAD_IRA-2 $Current(median),TRAD_IRA-2 $Current(p10),TRAD_IRA-2 $Current(p90),TRAD_IRA-2 NominalYoY(mean),TRAD_IRA-2 RealYoY(mean),TRAD_IRA-2__agg_nom $Current(mean),TRAD_IRA-2__agg_nom $Current(median),TRAD_IRA-2__agg_nom $Current(p10),TRAD_IRA-2__agg_nom $Current(p90),TRAD_IRA-2__agg_nom NominalYoY(mean),TRAD_IRA-2__agg_nom RealYoY(mean),TRAD_IRA-2__agg_nom_med $Current(mean),TRAD_IRA-2__agg_nom_med $Current(median),TRAD_IRA-2__agg_nom_med $Current(p10),TRAD_IRA-2__agg_nom_med $Current(p90),TRAD_IRA-2__agg_nom_med NominalYoY(mean),TRAD_IRA-2__agg_nom_med RealYoY(mean),TRAD_IRA-2__agg_real $Current(mean),TRAD_IRA-2__agg_real $Current(median),TRAD_IRA-2__agg_real $Current(p10),TRAD_IRA-2__agg_real $Current(p90),TRAD_IRA-2__agg_real NominalYoY(mean),TRAD_IRA-2__agg_real RealYoY(mean),TRAD_IRA-2__inv_med $Current(mean),TRAD_IRA-2__inv_med $Current(median),TRAD_IRA-2__inv_med $Current(p10),TRAD_IRA-2__inv_med $Current(p90),TRAD_IRA-2__inv_med NominalYoY(mean),TRAD_IRA-2__inv_med RealYoY(mean)
1,335207,333414,315892,357277,5.80%,2.72%,,,,,-30.95%,,,,,,-31.32%,,,,,,-32.96%,,,,,,5.43%,,245086,244181,235254,256284,5.80%,2.72%,,,,,0.98%,,,,,,0.60%,,,,,,-1.97%,,,,,,5.43%,,319651,320361,307618,332580,7.56%,4.43%,,,,,31.70%,,,,,,31.99%,,,,,,27.86%,,,,,,7.85%,,153432,153773,147656,159638,7.56%,4.43%,,,,,31.70%,,,,,,31.99%,,,,,,27.86%,,,,,,7.85%,,3556101,3546016,3407787,3704208,6.51%,3.41%,,,,,4.65%,,,,,,4.35%,,,,,,1.60%,,,,,,6.21%,,1320837,1317091,1265749,1375848,6.51%,3.41%,,,,,4.65%,,,,,,4.35%,,,,,,1.60%,,,,,,6.21%,
2,339123,338849,307642,377633,6.33%,3.24%,,,,,4.16%,,,,,,4.11%,,,,,,1.13%,,,,,,6.24%,,253241,253133,236859,273006,6.33%,3.24%,,,,,6.41%,,,,,,6.34%,,,,,,3.31%,,,,,,6.24%,,394346,395029,373527,414733,8.17%,5.02%,,,,,27.06%,,,,,,27.59%,,,,,,23.36%,,,,,,8.49%,,189286,189613,179293,199072,8.17%,5.02%,,,,,27.06%,,,,,,27.59%,,,,,,23.36%,,,,,,8.49%,,3638632,3625020,3414456,3906299,7.21%,4.08%,,,,,5.37%,,,,,,5.38%,,,,,,2.30%,,,,,,7.21%,,1351491,1346436,1268226,1450911,7.21%,4.08%,,,,,5.37%,,,,,,5.38%,,,,,,2.30%,,,,,,7.21%,
3,348416,348487,310281,389350,6.71%,4.31%,,,,,5.11%,,,,,,5.23%,,,,,,2.74%,,,,,,6.74%,,264519,264933,244564,285582,6.71%,4.31%,,,,,6.86%,,,,,,6.89%,,,,,,4.46%,,,,,,6.74%,,478473,480498,456089,504160,8.94%,6.49%,,,,,24.16%,,,,,,23.95%,,,,,,21.37%,,,,,,8.72%,,229667,230639,218923,241997,8.94%,6.49%,,,,,24.16%,,,,,,23.95%,,,,,,21.37%,,,,,,8.72%,,3761177,3763760,3477597,4057603,7.53%,5.11%,,,,,5.74%,,,,,,5.52%,,,,,,3.37%,,,,,,7.23%,,1397008,1397968,1291679,1507109,7.53%,5.11%,,,,,5.74%,,,,,,5.52%,,,,,,3.37%,,,,,,7.23%,
4,354592,351178,309480,399144,6.02%,3.64%,,,,,4.11%,,,,,,3.99%,,,,,,1.77%,,,,,,5.94%,,274407,272781,250410,298009,6.02%,3.64%,,,,,6.13%,,,,,,6.05%,,,,,,3.74%,,,,,,5.94%,,565301,564837,534305,594539,8.37%,5.93%,,,,,20.91%,,,,,,20.52%,,,,,,18.20%,,,,,,7.83%,,271344,271122,256466,285379,8.37%,5.93%,,,,,20.91%,,,,,,20.52%,,,,,,18.20%,,,,,,7.83%,,3868824,3855794,3559523,4174270,6.96%,4.55%,,,,,5.23%,,,,,,5.21%,,,,,,2.86%,,,,,,6.89%,,1436991,1432152,1322108,1550443,6.96%,4.55%,,,,,5.23%,,,,,,5.21%,,,,,,2.86%,,,,,,6.89%,
5,360605,358865,307007,418474,5.93%,3.55%,,,,,3.95%,,,,,,3.71%,,,,,,1.61%,,,,,,5.77%,,284569,284693,255375,316145,5.93%,3.55%,,,,,6.05%,,,,,,5.87%,,,,,,3.67%,,,,,,5.77%,,655640,652116,615115,694387,8.04%,5.61%,,,,,18.66%,,,,,,18.19%,,,,,,16.00%,,,,,,7.76%,,314707,313015,295255,333305,8.04%,5.61%,,,,,18.66%,,,,,,18.19%,,,,,,16.00%,,,,,,7.76%,,3973217,3965825,3572398,4365797,6.70%,4.30%,,,,,5.02%,,,,,,4.83%,,,,,,2.65%,,,,,,6.56%,,1475766,1473020,1326890,1621581,6.70%,4.30%,,,,,5.02%,,,,,,4.83%,,,,,,2.65%,,,,,,6.56%,
6,368279,365254,307978,443200,6.26%,3.87%,,,,,4.40%,,,,,,3.84%,,,,,,2.06%,,,,,,5.74%,,296087,294285,263929,336595,6.26%,3.87%,,,,,6.42%,,,,,,5.87%,,,,,,4.03%,,,,,,5.74%,,751084,743543,705080,817684,8.04%,5.61%,,,,,17.21%,,,,,,16.98%,,,,,,14.57%,,,,,,7.61%,,360520,356900,338438,392488,8.04%,5.61%,,,,,17.21%,,,,,,16.98%,,,,,,14.57%,,,,,,7.61%,,4094524,4067856,3668333,4633858,7.05%,4.64%,,,,,5.41%,,,,,,4.88%,,,,,,3.04%,,,,,,6.55%,,1520823,1510918,1362523,1721147,7.05%,4.64%,,,,,5.41%,,,,,,4.88%,,,,,,3.04%,,,,,,6.55%,
7,378117,370325,311317,469288,6.69%,4.30%,,,,,4.99%,,,,,,5.00%,,,,,,2.63%,,,,,,6.65%,,309305,304368,274570,358232,6.69%,4.30%,,,,,6.87%,,,,,,6.83%,,,,,,4.47%,,,,,,6.65%,,853236,845407,795061,926718,8.26%,5.82%,,,,,16.26%,,,,,,16.49%,,,,,,13.65%,,,,,,8.35%,,409553,405795,381629,444824,8.26%,5.82%,,,,,16.26%,,,,,,16.49%,,,,,,13.65%,,,,,,8.35%,,4241150,4188615,3763609,4916100,7.55%,5.13%,,,,,5.95%,,,,,,6.03%,,,,,,3.57%,,,,,,7.70%,,1575284,1555771,1397912,1825980,7.55%,5.13%,,,,,5.95%,,,,,,6.03%,,,,,,3.57%,,,,,,7.70%,
8,390134,383795,317788,485302,7.10%,4.69%,,,,,5.56%,,,,,,5.73%,,,,,,3.19%,,,,,,7.05%,,324312,321499,284780,376497,7.10%,4.69%,,,,,7.29%,,,,,,7.22%,,,,,,4.87%,,,,,,7.05%,,966174,950015,900817,1049117,8.82%,6.37%,,,,,15.87%,,,,,,15.51%,,,,,,13.26%,,,,,,8.73%,,463763,456007,432392,503576,8.82%,6.37%,,,,,15.87%,,,,,,15.51%,,,,,,13.26%,,,,,,8.73%,,4409155,4381419,3855315,5112776,7.88%,5.46%,,,,,6.34%,,,,,,6.26%,,,,,,3.95%,,,,,,7.70%,,1637686,1627384,1431974,1899031,7.88%,5.46%,,,,,6.34%,,,,,,6.26%,,,,,,3.95%,,,,,,7.70%,
9,400333,396912,317655,500862,6.65%,4.25%,,,,,4.86%,,,,,,4.75%,,,,,,2.50%,,,,,,6.45%,,338702,336241,292889,391398,6.65%,4.25%,,,,,6.81%,,,,,,6.62%,,,,,,4.40%,,,,,,6.45%,,1085237,1083561,997377,1183267,8.67%,6.23%,,,,,14.90%,,,,,,14.65%,,,,,,12.32%,,,,,,8.37%,,520913,520109,478741,567968,8.67%,6.23%,,,,,14.90%,,,,,,14.65%,,,,,,12.32%,,,,,,8.37%,,4569149,4512376,3948919,5307661,7.45%,5.03%,,,,,5.96%,,,,,,5.64%,,,,,,3.58%,,,,,,7.13%,,1697112,1676025,1466741,1971417,7.45%,5.03%,,,,,5.96%,,,,,,5.64%,,,,,,3.58%,,,,,,7.13%,
10,411437,408384,323443,513421,6.80%,4.40%,,,,,5.06%,,,,,,4.77%,,,,,,2.70%,,,,,,6.59%,,354147,353602,304948,409558,6.80%,4.40%,,,,,6.96%,,,,,,6.76%,,,,,,4.56%,,,,,,6.59%,,1211349,1192496,1094938,1343817,8.68%,6.23%,,,,,14.23%,,,,,,14.42%,,,,,,11.66%,,,,,,8.99%,,581447,572398,525570,645032,8.68%,6.23%,,,,,14.23%,,,,,,14.42%,,,,,,11.66%,,,,,,8.99%,,4744756,4691017,4008268,5528612,7.63%,5.21%,,,,,6.20%,,,,,,6.06%,,,,,,3.81%,,,,,,7.70%,,1762338,1742377,1488785,2053484,7.63%,5.21%,,,,,6.20%,,,,,,6.06%,,,,,,3.81%,,,,,,7.70%,
