Year,CurrentMean,FutureMean,CurrentMedian,CurrentP10,CurrentP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,6006133,6186317,5988637,5752195,6260808,4.50%,1.45%,6.49%,3.39%
2,6135920,6509597,6116461,5742803,6599252,5.21%,2.14%,7.16%,4.04%
3,6335606,6876038,6330351,5859475,6842582,5.63%,3.25%,7.51%,5.10%
4,6510263,7228102,6487923,6007352,7032453,5.12%,2.76%,6.93%,4.53%
5,6680532,7587740,6667181,6013241,7307433,4.93%,2.57%,6.69%,4.29%
6,6878656,7992461,6833342,6142958,7789337,5.32%,2.95%,7.02%,4.61%
7,7121624,8465092,7017752,6343572,8259805,5.91%,3.53%,7.49%,5.07%
8,7454980,9065145,7373034,6554656,8556618,7.14%,4.73%,7.85%,5.43%
9,7829980,9740125,7728211,6853712,8937654,7.43%,5.01%,7.43%,5.02%
10,8244995,10492282,8122071,7027136,9468665,7.71%,5.29%,7.61%,5.19%
11,8685174,11317696,8649052,7552438,9852310,7.89%,5.36%,7.79%,5.27%
12,9091068,12130937,9091280,7795397,10340621,7.22%,4.71%,7.12%,4.61%
13,9580190,13090419,9619643,8219217,10953430,7.94%,5.41%,7.84%,5.31%
14,10033384,14038696,10062794,8508172,11645225,7.29%,4.77%,7.19%,4.67%
15,10386799,14881991,10362216,8746219,11903991,5.97%,3.49%,7.45%,4.93%
16,10659244,15638881,10508041,8977153,12250430,5.05%,2.58%,6.51%,4.01%
17,10991589,16513522,10949982,9178830,12652719,5.57%,3.10%,7.04%,4.53%
18,11336305,17440169,11292085,9390983,13306710,5.57%,3.09%,7.01%,4.50%
19,11674186,18391016,11594539,9480130,13547632,5.33%,2.86%,7.02%,4.51%
20,11938707,19259117,11817729,9677653,14421016,4.66%,2.20%,6.35%,3.86%
21,12329697,20327426,12128136,10075253,15229437,5.48%,3.21%,7.18%,4.88%
22,12684723,21372823,12439033,10142898,15865682,5.04%,2.78%,6.73%,4.44%
23,13136380,22620774,12658970,10443543,16195672,5.73%,3.46%,7.42%,5.10%
24,13619190,23968119,13127564,10736196,17091199,5.88%,3.60%,7.53%,5.22%
25,14114762,25386751,13758865,10832245,18122567,5.79%,3.51%,7.39%,5.08%
26,14667294,26960906,14178478,11066724,18561945,6.03%,3.75%,7.58%,5.26%
27,15168686,28495963,14783667,11840653,19509546,5.67%,3.39%,7.16%,4.86%
28,15720454,30182232,15313763,12016755,20886455,5.83%,3.55%,7.26%,4.95%
29,16207810,31802517,15512471,12443090,21457848,5.26%,3.00%,6.63%,4.34%
30,16667031,33423066,16193042,12087709,21710338,4.97%,2.71%,6.97%,4.67%
31,16988410,34817027,16752933,12630517,22906940,4.12%,1.88%,7.42%,5.11%
32,17191559,36008506,16455542,12704559,22756679,3.25%,1.03%,6.53%,4.24%
33,17452946,37360225,16738764,12966769,23721840,3.68%,1.44%,7.02%,4.72%
34,17721110,38768817,16986525,13250196,24432010,3.87%,1.64%,7.25%,4.94%
35,18016031,40281129,16854199,13021996,25175533,3.61%,1.38%,7.04%,4.73%
36,18222352,41638767,17108718,13010817,25009225,3.43%,1.21%,6.89%,4.59%
37,18392861,42953010,17458995,13040136,25181838,3.15%,0.93%,6.64%,4.35%
38,18659280,44533836,17410811,13042165,26231859,3.71%,1.48%,7.25%,4.94%
39,18922347,46155252,17656270,12991399,26312793,3.58%,1.35%,7.17%,4.87%
40,19174123,47798307,18142841,12720923,26955064,3.48%,1.26%,7.16%,4.85%
41,19345965,49287672,18351373,12679670,27559613,2.92%,0.70%,6.58%,4.29%
42,19600594,51034990,18303679,12653100,27915801,3.48%,1.25%,7.20%,4.90%
43,19911266,52984468,18768326,12807270,28343427,3.44%,1.21%,7.18%,4.87%
44,20175606,54869017,19032166,12878641,28910630,3.53%,1.30%,7.29%,4.98%
45,20399447,56698279,19615711,13163183,28753066,3.45%,1.23%,7.29%,4.98%
46,20632028,58606300,19887749,13539436,29536773,3.34%,1.12%,7.16%,4.85%
47,20834007,60481993,20304941,13799817,29857144,3.09%,0.87%,6.95%,4.64%
48,21066091,62501168,20073581,14061445,30458380,3.09%,0.87%,6.93%,4.63%
49,21353052,64746312,20462205,13966030,30211152,3.67%,1.43%,7.54%,5.22%
