Year,BROKERAGE-1 $Future(mean),BROKERAGE-1 $Future(median),BROKERAGE-1 $Future(p10),BROKERAGE-1 $Future(p90),BROKERAGE-1 NominalYoY(mean),BROKERAGE-1 RealYoY(mean),BROKERAGE-1__agg_nom $Future(mean),BROKERAGE-1__agg_nom $Future(median),BROKERAGE-1__agg_nom $Future(p10),BROKERAGE-1__agg_nom $Future(p90),BROKERAGE-1__agg_nom NominalYoY(mean),BROKERAGE-1__agg_nom RealYoY(mean),BROKERAGE-1__agg_nom_med $Future(mean),BROKERAGE-1__agg_nom_med $Future(median),BROKERAGE-1__agg_nom_med $Future(p10),BROKERAGE-1__agg_nom_med $Future(p90),BROKERAGE-1__agg_nom_med NominalYoY(mean),BROKERAGE-1__agg_nom_med RealYoY(mean),BROKERAGE-1__agg_real $Future(mean),BROKERAGE-1__agg_real $Future(median),BROKERAGE-1__agg_real $Future(p10),BROKERAGE-1__agg_real $Future(p90),BROKERAGE-1__agg_real NominalYoY(mean),BROKERAGE-1__agg_real RealYoY(mean),BROKERAGE-1__inv_med $Future(mean),BROKERAGE-1__inv_med $Future(median),BROKERAGE-1__inv_med $Future(p10),BROKERAGE-1__inv_med $Future(p90),BROKERAGE-1__inv_med NominalYoY(mean),BROKERAGE-1__inv_med RealYoY(mean),ROTH_IRA-1 $Future(mean),ROTH_IRA-1 $Future(median),ROTH_IRA-1 $Future(p10),ROTH_IRA-1 $Future(p90),ROTH_IRA-1 NominalYoY(mean),ROTH_IRA-1 RealYoY(mean),ROTH_IRA-1__agg_nom $Future(mean),ROTH_IRA-1__agg_nom $Future(median),ROTH_IRA-1__agg_nom $Future(p10),ROTH_IRA-1__agg_nom $Future(p90),ROTH_IRA-1__agg_nom NominalYoY(mean),ROTH_IRA-1__agg_nom RealYoY(mean),ROTH_IRA-1__agg_nom_med $Future(mean),ROTH_IRA-1__agg_nom_med $Future(median),ROTH_IRA-1__agg_nom_med $Future(p10),ROTH_IRA-1__agg_nom_med $Future(p90),ROTH_IRA-1__agg_nom_med NominalYoY(mean),ROTH_IRA-1__agg_nom_med RealYoY(mean),ROTH_IRA-1__agg_real $Future(mean),ROTH_IRA-1__agg_real $Future(median),ROTH_IRA-1__agg_real $Future(p10),ROTH_IRA-1__agg_real $Future(p90),ROTH_IRA-1__agg_real NominalYoY(mean),ROTH_IRA-1__agg_real RealYoY(mean),ROTH_IRA-1__inv_med $Future(mean),ROTH_IRA-1__inv_med $Future(median),ROTH_IRA-1__inv_med $Future(p10),ROTH_IRA-1__inv_med $Future(p90),ROTH_IRA-1__inv_med NominalYoY(mean),ROTH_IRA-1__inv_med RealYoY(mean),TRAD_IRA-1 $Future(mean),TRAD_IRA-1 $Future(median),TRAD_IRA-1 $Future(p10),TRAD_IRA-1 $Future(p90),TRAD_IRA-1 NominalYoY(mean),TRAD_IRA-1 RealYoY(mean),TRAD_IRA-1__agg_nom $Future(mean),TRAD_IRA-1__agg_nom $Future(median),TRAD_IRA-1__agg_nom $Future(p10),TRAD_IRA-1__agg_nom $Future(p90),TRAD_IRA-1__agg_nom NominalYoY(mean),TRAD_IRA-1__agg_nom RealYoY(mean),TRAD_IRA-1__agg_nom_med $Future(mean),TRAD_IRA-1__agg_nom_med $Future(median),TRAD_IRA-1__agg_nom_med $Future(p10),TRAD_IRA-1__agg_nom_med $Future(p90),TRAD_IRA-1__agg_nom_med NominalYoY(mean),TRAD_IRA-1__agg_nom_med RealYoY(mean),TRAD_IRA-1__agg_real $Future(mean),TRAD_IRA-1__agg_real $Future(median),TRAD_IRA-1__agg_real $Future(p10),TRAD_IRA-1__agg_real $Future(p90),TRAD_IRA-1__agg_real NominalYoY(mean),TRAD_IRA-1__agg_real RealYoY(mean),TRAD_IRA-1__inv_med $Future(mean),TRAD_IRA-1__inv_med $Future(median),TRAD_IRA-1__inv_med $Future(p10),TRAD_IRA-1__inv_med $Future(p90),TRAD_IRA-1__inv_med NominalYoY(mean),TRAD_IRA-1__inv_med RealYoY(mean)
1,372762,372675,341484,410010,3.46%,0.44%,,,,,-6.81%,,,,,,-6.83%,,,,,,-9.52%,,,,,,3.45%,,371009,368466,343125,402190,5.34%,2.27%,,,,,23.67%,,,,,,22.82%,,,,,,20.07%,,,,,,4.44%,,2304367,2312521,2063381,2596151,4.07%,1.04%,,,,,-7.83%,,,,,,-7.50%,,,,,,-10.51%,,,,,,4.40%,
2,383763,386396,332586,433500,4.79%,1.74%,,,,,2.93%,,,,,,2.71%,,,,,,-0.07%,,,,,,4.53%,,448945,447581,415718,486988,7.61%,4.48%,,,,,21.18%,,,,,,20.32%,,,,,,17.65%,,,,,,6.16%,,2389577,2391007,2048172,2762215,5.86%,2.78%,,,,,3.66%,,,,,,3.02%,,,,,,0.65%,,,,,,5.25%,
3,400917,399311,341791,464971,5.90%,3.52%,,,,,4.48%,,,,,,3.48%,,,,,,2.13%,,,,,,5.19%,,531680,527342,490536,574977,9.32%,6.86%,,,,,18.73%,,,,,,18.32%,,,,,,16.06%,,,,,,9.00%,,2522267,2490781,2067488,2980881,7.24%,4.83%,,,,,5.57%,,,,,,4.75%,,,,,,3.20%,,,,,,6.52%,
4,422586,414860,359438,490463,3.89%,1.55%,,,,,5.51%,,,,,,4.48%,,,,,,3.13%,,,,,,2.93%,,568383,559361,499261,646151,6.90%,4.49%,,,,,6.90%,,,,,,5.20%,,,,,,4.49%,,,,,,5.20%,,2648007,2631597,2138945,3204545,4.99%,2.63%,,,,,4.98%,,,,,,3.37%,,,,,,2.62%,,,,,,3.48%,
5,438212,429936,363247,520772,4.11%,1.77%,,,,,3.64%,,,,,,2.33%,,,,,,1.31%,,,,,,2.75%,,606224,588590,503944,731321,6.55%,4.15%,,,,,6.55%,,,,,,4.61%,,,,,,4.15%,,,,,,4.61%,,2782916,2715276,2174668,3425194,5.02%,2.66%,,,,,5.01%,,,,,,3.65%,,,,,,2.65%,,,,,,3.74%,
6,457118,447593,372609,547771,4.77%,2.41%,,,,,4.21%,,,,,,4.11%,,,,,,1.87%,,,,,,4.62%,,651955,636568,512957,800128,7.40%,4.99%,,,,,7.40%,,,,,,7.22%,,,,,,4.99%,,,,,,7.22%,,2943499,2848717,2208918,3674357,5.65%,3.28%,,,,,5.63%,,,,,,5.18%,,,,,,3.26%,,,,,,5.22%,
7,478399,467998,380186,601870,5.15%,2.79%,,,,,4.62%,,,,,,4.40%,,,,,,2.27%,,,,,,5.28%,,701869,688835,549854,861978,7.73%,5.30%,,,,,7.73%,,,,,,8.01%,,,,,,5.30%,,,,,,8.01%,,3120972,2994228,2404172,3936090,6.08%,3.70%,,,,,6.08%,,,,,,5.92%,,,,,,3.69%,,,,,,5.96%,
8,507479,509644,394465,619849,6.65%,4.25%,,,,,6.10%,,,,,,5.26%,,,,,,3.72%,,,,,,5.98%,,771929,754290,593793,972005,10.10%,7.63%,,,,,10.10%,,,,,,10.11%,,,,,,7.63%,,,,,,10.11%,,3365375,3308460,2469403,4218094,7.88%,5.45%,,,,,7.94%,,,,,,7.91%,,,,,,5.51%,,,,,,7.85%,
9,532094,519229,400843,669386,4.95%,2.59%,,,,,4.76%,,,,,,4.58%,,,,,,2.41%,,,,,,4.24%,,830005,830646,599723,1040828,7.53%,5.12%,,,,,7.53%,,,,,,6.17%,,,,,,5.12%,,,,,,6.17%,,3558101,3478616,2577916,4640694,5.87%,3.49%,,,,,5.83%,,,,,,4.75%,,,,,,3.45%,,,,,,4.89%,
10,569465,552142,429639,744396,6.10%,3.71%,,,,,6.50%,,,,,,5.50%,,,,,,4.10%,,,,,,4.92%,,909931,873282,647946,1185738,9.40%,6.94%,,,,,9.40%,,,,,,8.75%,,,,,,6.94%,,,,,,8.75%,,3830347,3755177,2734116,5174608,7.36%,4.95%,,,,,7.30%,,,,,,5.97%,,,,,,4.89%,,,,,,6.07%,
