Year,BROKERAGE-1 $Current(mean),BROKERAGE-1 $Current(median),BROKERAGE-1 $Current(p10),BROKERAGE-1 $Current(p90),BROKERAGE-1 NominalYoY(mean),BROKERAGE-1 RealYoY(mean),BROKERAGE-1__agg_nom $Current(mean),BROKERAGE-1__agg_nom $Current(median),BROKERAGE-1__agg_nom $Current(p10),BROKERAGE-1__agg_nom $Current(p90),BROKERAGE-1__agg_nom NominalYoY(mean),BROKERAGE-1__agg_nom RealYoY(mean),BROKERAGE-1__agg_nom_med $Current(mean),BROKERAGE-1__agg_nom_med $Current(median),BROKERAGE-1__agg_nom_med $Current(p10),BROKERAGE-1__agg_nom_med $Current(p90),BROKERAGE-1__agg_nom_med NominalYoY(mean),BROKERAGE-1__agg_nom_med RealYoY(mean),BROKERAGE-1__agg_real $Current(mean),BROKERAGE-1__agg_real $Current(median),BROKERAGE-1__agg_real $Current(p10),BROKERAGE-1__agg_real $Current(p90),BROKERAGE-1__agg_real NominalYoY(mean),BROKERAGE-1__agg_real RealYoY(mean),BROKERAGE-1__inv_med $Current(mean),BROKERAGE-1__inv_med $Current(median),BROKERAGE-1__inv_med $Current(p10),BROKERAGE-1__inv_med $Current(p90),BROKERAGE-1__inv_med NominalYoY(mean),BROKERAGE-1__inv_med RealYoY(mean),ROTH_IRA-1 $Current(mean),ROTH_IRA-1 $Current(median),ROTH_IRA-1 $Current(p10),ROTH_IRA-1 $Current(p90),ROTH_IRA-1 NominalYoY(mean),ROTH_IRA-1 RealYoY(mean),ROTH_IRA-1__agg_nom $Current(mean),ROTH_IRA-1__agg_nom $Current(median),ROTH_IRA-1__agg_nom $Current(p10),ROTH_IRA-1__agg_nom $Current(p90),ROTH_IRA-1__agg_nom NominalYoY(mean),ROTH_IRA-1__agg_nom RealYoY(mean),ROTH_IRA-1__agg_nom_med $Current(mean),ROTH_IRA-1__agg_nom_med $Current(median),ROTH_IRA-1__agg_nom_med $Current(p10),ROTH_IRA-1__agg_nom_med $Current(p90),ROTH_IRA-1__agg_nom_med NominalYoY(mean),ROTH_IRA-1__agg_nom_med RealYoY(mean),ROTH_IRA-1__agg_real $Current(mean),ROTH_IRA-1__agg_real $Current(median),ROTH_IRA-1__agg_real $Current(p10),ROTH_IRA-1__agg_real $Current(p90),ROTH_IRA-1__agg_real NominalYoY(mean),ROTH_IRA-1__agg_real RealYoY(mean),ROTH_IRA-1__inv_med $Current(mean),ROTH_IRA-1__inv_med $Current(median),ROTH_IRA-1__inv_med $Current(p10),ROTH_IRA-1__inv_med $Current(p90),ROTH_IRA-1__inv_med NominalYoY(mean),ROTH_IRA-1__inv_med RealYoY(mean),TRAD_IRA-1 $Current(mean),TRAD_IRA-1 $Current(median),TRAD_IRA-1 $Current(p10),TRAD_IRA-1 $Current(p90),TRAD_IRA-1 NominalYoY(mean),TRAD_IRA-1 RealYoY(mean),TRAD_IRA-1__agg_nom $Current(mean),TRAD_IRA-1__agg_nom $Current(median),TRAD_IRA-1__agg_nom $Current(p10),TRAD_IRA-1__agg_nom $Current(p90),TRAD_IRA-1__agg_nom NominalYoY(mean),TRAD_IRA-1__agg_nom RealYoY(mean),TRAD_IRA-1__agg_nom_med $Current(mean),TRAD_IRA-1__agg_nom_med $Current(median),TRAD_IRA-1__agg_nom_med $Current(p10),TRAD_IRA-1__agg_nom_med $Current(p90),TRAD_IRA-1__agg_nom_med NominalYoY(mean),TRAD_IRA-1__agg_nom_med RealYoY(mean),TRAD_IRA-1__agg_real $Current(mean),TRAD_IRA-1__agg_real $Current(median),TRAD_IRA-1__agg_real $Current(p10),TRAD_IRA-1__agg_real $Current(p90),TRAD_IRA-1__agg_real NominalYoY(mean),TRAD_IRA-1__agg_real RealYoY(mean),TRAD_IRA-1__inv_med $Current(mean),TRAD_IRA-1__inv_med $Current(median),TRAD_IRA-1__inv_med $Current(p10),TRAD_IRA-1__inv_med $Current(p90),TRAD_IRA-1__inv_med NominalYoY(mean),TRAD_IRA-1__inv_med RealYoY(mean)
1,361905,361820,331537,398068,3.46%,0.44%,,,,,-6.81%,,,,,,-6.83%,,,,,,-9.52%,,,,,,3.45%,,360202,357734,333131,390475,5.34%,2.27%,,,,,23.67%,,,,,,22.82%,,,,,,20.07%,,,,,,4.44%,,2237249,2245166,2003282,2520535,4.07%,1.04%,,,,,-7.83%,,,,,,-7.50%,,,,,,-10.51%,,,,,,4.40%,
2,361733,364215,313495,408615,4.79%,1.74%,,,,,2.93%,,,,,,2.71%,,,,,,-0.07%,,,,,,4.53%,,423174,421888,391854,459033,7.61%,4.48%,,,,,21.18%,,,,,,20.32%,,,,,,17.65%,,,,,,6.16%,,2252405,2253753,1930598,2603652,5.86%,2.78%,,,,,3.66%,,,,,,3.02%,,,,,,0.65%,,,,,,5.25%,
3,369406,367927,314927,428426,5.90%,3.52%,,,,,4.48%,,,,,,3.48%,,,,,,2.13%,,,,,,5.19%,,489892,485895,451981,529786,9.32%,6.86%,,,,,18.73%,,,,,,18.32%,,,,,,16.06%,,,,,,9.00%,,2324026,2295015,1904991,2746595,7.24%,4.83%,,,,,5.57%,,,,,,4.75%,,,,,,3.20%,,,,,,6.52%,
4,380618,373659,323741,441754,3.89%,1.55%,,,,,5.51%,,,,,,4.48%,,,,,,3.13%,,,,,,2.93%,,511936,503810,449679,581981,6.90%,4.49%,,,,,6.90%,,,,,,5.20%,,,,,,4.49%,,,,,,5.20%,,2385028,2370247,1926521,2886294,4.99%,2.63%,,,,,4.98%,,,,,,3.37%,,,,,,2.62%,,,,,,3.48%,
5,385818,378532,319816,458508,4.11%,1.77%,,,,,3.64%,,,,,,2.33%,,,,,,1.31%,,,,,,2.75%,,533743,518217,443691,643882,6.55%,4.15%,,,,,6.55%,,,,,,4.61%,,,,,,4.15%,,,,,,4.61%,,2450184,2390632,1914660,3015670,5.02%,2.66%,,,,,5.01%,,,,,,3.65%,,,,,,2.65%,,,,,,3.74%,
6,393416,385218,320683,471435,4.77%,2.41%,,,,,4.21%,,,,,,4.11%,,,,,,1.87%,,,,,,4.62%,,561100,547858,441473,688625,7.40%,4.99%,,,,,7.40%,,,,,,7.22%,,,,,,4.99%,,,,,,7.22%,,2533301,2451728,1901089,3162309,5.65%,3.28%,,,,,5.63%,,,,,,5.18%,,,,,,3.26%,,,,,,5.22%,
7,402473,393723,319848,506349,5.15%,2.79%,,,,,4.62%,,,,,,4.40%,,,,,,2.27%,,,,,,5.28%,,590478,579512,462589,725176,7.73%,5.30%,,,,,7.73%,,,,,,8.01%,,,,,,5.30%,,,,,,8.01%,,2625653,2519023,2022613,3311406,6.08%,3.70%,,,,,6.08%,,,,,,5.92%,,,,,,3.69%,,,,,,5.96%,
8,417340,419120,324399,509751,6.65%,4.25%,,,,,6.10%,,,,,,5.26%,,,,,,3.72%,,,,,,5.98%,,634818,620312,488323,799356,10.10%,7.63%,,,,,10.10%,,,,,,10.11%,,,,,,7.63%,,,,,,10.11%,,2767612,2720807,2030784,3468870,7.88%,5.45%,,,,,7.94%,,,,,,7.91%,,,,,,5.51%,,,,,,7.85%,
9,427744,417402,322234,538112,4.95%,2.59%,,,,,4.76%,,,,,,4.58%,,,,,,2.41%,,,,,,4.24%,,667232,667747,482111,836710,7.53%,5.12%,,,,,7.53%,,,,,,6.17%,,,,,,5.12%,,,,,,6.17%,,2860319,2796422,2072359,3730603,5.87%,3.49%,,,,,5.83%,,,,,,4.75%,,,,,,3.45%,,,,,,4.89%,
10,447494,433882,337617,584958,6.10%,3.71%,,,,,6.50%,,,,,,5.50%,,,,,,4.10%,,,,,,4.92%,,715037,686238,509165,931771,9.40%,6.94%,,,,,9.40%,,,,,,8.75%,,,,,,6.94%,,,,,,8.75%,,3009945,2950875,2148510,4066286,7.36%,4.95%,,,,,7.30%,,,,,,5.97%,,,,,,4.89%,,,,,,6.07%,
