Year,FutureMean,CurrentMean,FutureMedian,FutureP10,FutureP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,3048138,2959357,3056007,2746923,3408939,-4.75%,-7.52%,4.11%,1.08%
2,3222286,3037314,3220024,2794222,3681440,5.72%,2.64%,5.89%,2.81%
3,3454864,3183325,3430947,2894076,4011436,7.31%,4.90%,7.28%,4.86%
4,3638978,3277583,3599991,2995143,4324691,5.34%,2.97%,5.04%,2.68%
5,3827354,3369747,3724739,3028187,4685802,5.09%,2.73%,5.06%,2.70%
6,4052573,3487818,3950792,3084364,5003742,5.75%,3.38%,5.72%,3.35%
7,4301241,3618605,4133764,3412356,5434159,6.18%,3.79%,6.14%,3.75%
8,4644784,3819771,4578305,3477943,5802805,8.08%,5.65%,7.96%,5.54%
9,4920201,3955296,4855118,3563400,6224998,5.99%,3.61%,5.94%,3.56%
10,5309744,4172478,5157180,3817211,7093325,7.57%,5.15%,7.44%,5.02%
11,5673575,4353888,5471555,4168323,7879269,6.92%,4.41%,6.79%,4.29%
12,5977091,4479303,5749236,3973246,8219882,5.43%,2.96%,5.36%,2.89%
13,6370747,4662415,6292569,4224280,8446508,6.97%,4.47%,6.78%,4.28%
14,6809325,4866590,6725604,4697794,9178330,6.88%,4.38%,6.68%,4.18%
15,7202269,5026781,6970385,4755954,9786275,5.50%,3.03%,5.39%,2.92%
16,7648167,5212885,7335039,4933042,10910419,5.65%,3.17%,5.53%,3.05%
17,8120424,5405047,7634577,5016862,11134579,6.05%,3.56%,5.91%,3.42%
18,8631528,5610590,8402541,5265570,12658389,6.34%,3.85%,6.15%,3.66%
19,9079443,5763417,8593432,5547595,12973378,4.93%,2.47%,4.88%,2.42%
20,9590683,5945254,8838987,5775340,13944059,5.23%,2.76%,5.18%,2.71%
21,10243483,6213233,9507896,5732900,14819863,6.76%,4.46%,6.60%,4.31%
22,10761092,6386684,10118860,6000128,16517577,4.73%,2.47%,4.73%,2.48%
