Year,CurrentMean,FutureMean,CurrentMedian,CurrentP10,CurrentP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,2959357,3048138,2966997,2666915,3309650,-4.75%,-7.52%,4.11%,1.08%
2,2773485,2942390,2773885,2396667,3184604,-3.50%,-6.31%,5.89%,2.81%
3,2643868,2869392,2608361,2193115,3095997,-2.47%,-4.66%,7.28%,4.86%
4,2483076,2756866,2473513,2009772,3005093,-4.02%,-6.18%,5.04%,2.68%
5,2325713,2641542,2265395,1785248,2882600,-4.40%,-6.55%,5.06%,2.70%
6,2186812,2540906,2115301,1590741,2774826,-4.14%,-6.29%,5.72%,3.35%
7,2053857,2441309,1985337,1484188,2694978,-4.17%,-6.32%,6.14%,3.75%
8,1959445,2382656,1931113,1335639,2589100,-2.69%,-4.87%,7.96%,5.54%
9,1825585,2270942,1771901,1205950,2467283,-5.04%,-7.18%,5.94%,3.56%
10,1731290,2203176,1656410,1104497,2474861,-4.02%,-6.18%,7.44%,5.02%
11,1614181,2103447,1555279,1027130,2488340,-5.16%,-7.39%,6.79%,4.29%
12,1476664,1970430,1439618,827351,2244475,-7.22%,-9.39%,5.36%,2.89%
13,1358477,1856230,1356129,711761,1985424,-6.68%,-8.87%,6.78%,4.28%
14,1249349,1748087,1260014,577813,1864269,-7.91%,-10.06%,6.68%,4.18%
15,1130580,1619872,1137023,438032,1791320,-11.63%,-13.71%,5.39%,2.92%
16,1023996,1502372,957828,350587,1675118,nan%,nan%,5.53%,3.05%
17,913160,1371912,890322,180494,1548557,nan%,nan%,5.91%,3.42%
18,807919,1242931,752666,39975,1492022,nan%,nan%,6.15%,3.66%
19,689321,1085928,619777,0,1410909,nan%,nan%,4.88%,2.42%
20,569180,918183,474936,0,1254571,nan%,nan%,5.18%,2.71%
21,463125,763534,288508,0,1055227,nan%,nan%,6.60%,4.31%
22,346578,583958,115236,0,930570,nan%,nan%,4.73%,2.48%
