Year,FedTax,StateTax,NIIT,Excise,TaxShortfall,RealizedGains,RMD,RMD FedTax,RMD StateTax,RMD NIIT,RMD Shortfall
1,0,0,0,0,0,0,0,,,,
2,0,0,0,0,0,0,0,,,,
3,0,0,0,0,0,0,0,,,,
4,0,0,0,0,0,0,0,,,,
5,0,0,0,0,0,0,0,,,,
6,0,0,0,0,0,0,0,,,,
7,0,0,0,0,0,0,0,,,,
8,0,0,0,0,0,0,0,,,,
9,0,0,0,0,0,0,0,,,,
10,0,0,0,0,0,0,198245,,,,
11,0,0,0,0,0,0,200357,,,,
12,0,0,0,0,0,0,200298,,,,
13,0,0,0,0,0,0,202513,,,,
14,0,0,0,0,0,0,203218,,,,
15,0,0,0,0,0,0,204141,,,,
16,0,0,0,0,0,0,201747,,,,
17,0,0,0,0,0,0,200853,,,,
18,0,0,0,0,0,0,197952,,,,
19,0,0,0,0,0,0,196293,,,,
20,0,0,0,0,0,0,191212,,,,
21,0,0,0,0,0,0,186913,,,,
22,0,0,0,0,0,0,181035,,,,
23,0,0,0,0,0,0,174200,,,,
24,0,0,0,0,0,0,167361,,,,
25,0,0,0,0,0,0,157714,,,,
26,0,0,0,0,0,0,147397,,,,
27,0,0,0,0,0,0,134646,,,,
28,0,0,0,0,0,0,120672,,,,
29,0,0,0,0,0,0,103441,,,,
