Year,BROKERAGE-1 $Current(mean),BROKERAGE-1 $Current(median),BROKERAGE-1 $Current(p10),BROKERAGE-1 $Current(p90),BROKERAGE-1 NominalYoY(mean),BROKERAGE-1 RealYoY(mean),BROKERAGE-1__agg_nom $Current(mean),BROKERAGE-1__agg_nom $Current(median),BROKERAGE-1__agg_nom $Current(p10),BROKERAGE-1__agg_nom $Current(p90),BROKERAGE-1__agg_nom NominalYoY(mean),BROKERAGE-1__agg_nom RealYoY(mean),BROKERAGE-1__agg_nom_med $Current(mean),BROKERAGE-1__agg_nom_med $Current(median),BROKERAGE-1__agg_nom_med $Current(p10),BROKERAGE-1__agg_nom_med $Current(p90),BROKERAGE-1__agg_nom_med NominalYoY(mean),BROKERAGE-1__agg_nom_med RealYoY(mean),BROKERAGE-1__agg_real $Current(mean),BROKERAGE-1__agg_real $Current(median),BROKERAGE-1__agg_real $Current(p10),BROKERAGE-1__agg_real $Current(p90),BROKERAGE-1__agg_real NominalYoY(mean),BROKERAGE-1__agg_real RealYoY(mean),BROKERAGE-1__inv_med $Current(mean),BROKERAGE-1__inv_med $Current(median),BROKERAGE-1__inv_med $Current(p10),BROKERAGE-1__inv_med $Current(p90),BROKERAGE-1__inv_med NominalYoY(mean),BROKERAGE-1__inv_med RealYoY(mean),BROKERAGE-2 $Current(mean),BROKERAGE-2 $Current(median),BROKERAGE-2 $Current(p10),BROKERAGE-2 $Current(p90),BROKERAGE-2 NominalYoY(mean),BROKERAGE-2 RealYoY(mean),BROKERAGE-2__agg_nom $Current(mean),BROKERAGE-2__agg_nom $Current(median),BROKERAGE-2__agg_nom $Current(p10),BROKERAGE-2__agg_nom $Current(p90),BROKERAGE-2__agg_nom NominalYoY(mean),BROKERAGE-2__agg_nom RealYoY(mean),BROKERAGE-2__agg_nom_med $Current(mean),BROKERAGE-2__agg_nom_med $Current(median),BROKERAGE-2__agg_nom_med $Current(p10),BROKERAGE-2__agg_nom_med $Current(p90),BROKERAGE-2__agg_nom_med NominalYoY(mean),BROKERAGE-2__agg_nom_med RealYoY(mean),BROKERAGE-2__agg_real $Current(mean),BROKERAGE-2__agg_real $Current(median),BROKERAGE-2__agg_real $Current(p10),BROKERAGE-2__agg_real $Current(p90),BROKERAGE-2__agg_real NominalYoY(mean),BROKERAGE-2__agg_real RealYoY(mean),BROKERAGE-2__inv_med $Current(mean),BROKERAGE-2__inv_med $Current(median),BROKERAGE-2__inv_med $Current(p10),BROKERAGE-2__inv_med $Current(p90),BROKERAGE-2__inv_med NominalYoY(mean),BROKERAGE-2__inv_med RealYoY(mean),ROTH_IRA-1 $Current(mean),ROTH_IRA-1 $Current(median),ROTH_IRA-1 $Current(p10),ROTH_IRA-1 $Current(p90),ROTH_IRA-1 NominalYoY(mean),ROTH_IRA-1 RealYoY(mean),ROTH_IRA-1__agg_nom $Current(mean),ROTH_IRA-1__agg_nom $Current(median),ROTH_IRA-1__agg_nom $Current(p10),ROTH_IRA-1__agg_nom $Current(p90),ROTH_IRA-1__agg_nom NominalYoY(mean),ROTH_IRA-1__agg_nom RealYoY(mean),ROTH_IRA-1__agg_nom_med $Current(mean),ROTH_IRA-1__agg_nom_med $Current(median),ROTH_IRA-1__agg_nom_med $Current(p10),ROTH_IRA-1__agg_nom_med $Current(p90),ROTH_IRA-1__agg_nom_med NominalYoY(mean),ROTH_IRA-1__agg_nom_med RealYoY(mean),ROTH_IRA-1__agg_real $Current(mean),ROTH_IRA-1__agg_real $Current(median),ROTH_IRA-1__agg_real $Current(p10),ROTH_IRA-1__agg_real $Current(p90),ROTH_IRA-1__agg_real NominalYoY(mean),ROTH_IRA-1__agg_real RealYoY(mean),ROTH_IRA-1__inv_med $Current(mean),ROTH_IRA-1__inv_med $Current(median),ROTH_IRA-1__inv_med $Current(p10),ROTH_IRA-1__inv_med $Current(p90),ROTH_IRA-1__inv_med NominalYoY(mean),ROTH_IRA-1__inv_med RealYoY(mean),ROTH_IRA-2 $Current(mean),ROTH_IRA-2 $Current(median),ROTH_IRA-2 $Current(p10),ROTH_IRA-2 $Current(p90),ROTH_IRA-2 NominalYoY(mean),ROTH_IRA-2 RealYoY(mean),ROTH_IRA-2__agg_nom $Current(mean),ROTH_IRA-2__agg_nom $Current(median),ROTH_IRA-2__agg_nom $Current(p10),ROTH_IRA-2__agg_nom $Current(p90),ROTH_IRA-2__agg_nom NominalYoY(mean),ROTH_IRA-2__agg_nom RealYoY(mean),ROTH_IRA-2__agg_nom_med $Current(mean),ROTH_IRA-2__agg_nom_med $Current(median),ROTH_IRA-2__agg_nom_med $Current(p10),ROTH_IRA-2__agg_nom_med $Current(p90),ROTH_IRA-2__agg_nom_med NominalYoY(mean),ROTH_IRA-2__agg_nom_med RealYoY(mean),ROTH_IRA-2__agg_real $Current(mean),ROTH_IRA-2__agg_real $Current(median),ROTH_IRA-2__agg_real $Current(p10),ROTH_IRA-2__agg_real $Current(p90),ROTH_IRA-2__agg_real NominalYoY(mean),ROTH_IRA-2__agg_real RealYoY(mean),ROTH_IRA-2__inv_med $Current(mean),ROTH_IRA-2__inv_med $Current(median),ROTH_IRA-2__inv_med $Current(p10),ROTH_IRA-2__inv_med $Current(p90),ROTH_IRA-2__inv_med NominalYoY(mean),ROTH_IRA-2__inv_med RealYoY(mean),TRAD_IRA-1 $Current(mean),TRAD_IRA-1 $Current(median),TRAD_IRA-1 $Current(p10),TRAD_IRA-1 $Current(p90),TRAD_IRA-1 NominalYoY(mean),TRAD_IRA-1 RealYoY(mean),TRAD_IRA-1__agg_nom $Current(mean),TRAD_IRA-1__agg_nom $Current(median),TRAD_IRA-1__agg_nom $Current(p10),TRAD_IRA-1__agg_nom $Current(p90),TRAD_IRA-1__agg_nom NominalYoY(mean),TRAD_IRA-1__agg_nom RealYoY(mean),TRAD_IRA-1__agg_nom_med $Current(mean),TRAD_IRA-1__agg_nom_med $Current(median),TRAD_IRA-1__agg_nom_med $Current(p10),TRAD_IRA-1__agg_nom_med $Current(p90),TRAD_IRA-1__agg_nom_med NominalYoY(mean),TRAD_IRA-1__agg_nom_med RealYoY(mean),TRAD_IRA-1__agg_real $Current(mean),TRAD_IRA-1__agg_real $Current(median),TRAD_IRA-1__agg_real $Current(p10),TRAD_IRA-1__agg_real $Current(p90),TRAD_IRA-1__agg_real NominalYoY(mean),TRAD_IRA-1__agg_real RealYoY(mean),TRAD_IRA-1__inv_med $Current(mean),TRAD_IRA-1__inv_med $Current(median),TRAD_IRA-1__inv_med $Current(p10),TRAD_IRA-1__inv_med $Current(p90),TRAD_IRA-1__inv_med NominalYoY(mean),TRAD_IRA-1__inv_med RealYoY(mean),TRAD_IRA-2 $Current(mean),TRAD_IRA-2 $Current(median),TRAD_IRA-2 $Current(p10),TRAD_IRA-2 $Current(p90),TRAD_IRA-2 NominalYoY(mean),TRAD_IRA-2 RealYoY(mean),TRAD_IRA-2__agg_nom $Current(mean),TRAD_IRA-2__agg_nom $Current(median),TRAD_IRA-2__agg_nom $Current(p10),TRAD_IRA-2__agg_nom $Current(p90),TRAD_IRA-2__agg_nom NominalYoY(mean),TRAD_IRA-2__agg_nom RealYoY(mean),TRAD_IRA-2__agg_nom_med $Current(mean),TRAD_IRA-2__agg_nom_med $Current(median),TRAD_IRA-2__agg_nom_med $Current(p10),TRAD_IRA-2__agg_nom_med $Current(p90),TRAD_IRA-2__agg_nom_med NominalYoY(mean),TRAD_IRA-2__agg_nom_med RealYoY(mean),TRAD_IRA-2__agg_real $Current(mean),TRAD_IRA-2__agg_real $Current(median),TRAD_IRA-2__agg_real $Current(p10),TRAD_IRA-2__agg_real $Current(p90),TRAD_IRA-2__agg_real NominalYoY(mean),TRAD_IRA-2__agg_real RealYoY(mean),TRAD_IRA-2__inv_med $Current(mean),TRAD_IRA-2__inv_med $Current(median),TRAD_IRA-2__inv_med $Current(p10),TRAD_IRA-2__inv_med $Current(p90),TRAD_IRA-2__inv_med NominalYoY(mean),TRAD_IRA-2__inv_med RealYoY(mean)
1,504242,503238,483824,523152,5.71%,2.63%,,,,,3.87%,,,,,,3.67%,,,,,,0.85%,,,,,,5.50%,,255350,254848,245140,264805,5.71%,2.63%,,,,,5.20%,,,,,,5.00%,,,,,,2.14%,,,,,,5.50%,,295273,295361,283573,308642,7.47%,4.34%,,,,,21.65%,,,,,,21.69%,,,,,,18.11%,,,,,,7.51%,,141731,141773,136115,148148,7.47%,4.34%,,,,,21.65%,,,,,,21.69%,,,,,,18.11%,,,,,,7.51%,,3398851,3388855,3241424,3539217,6.41%,3.31%,,,,,0.02%,,,,,,-0.27%,,,,,,-2.89%,,,,,,6.12%,,1329287,1325574,1270814,1381423,6.41%,3.31%,,,,,5.32%,,,,,,5.03%,,,,,,2.25%,,,,,,6.12%,
2,511953,508935,483108,551838,6.42%,3.32%,,,,,4.57%,,,,,,3.90%,,,,,,1.52%,,,,,,5.71%,,262549,261044,248075,282632,6.42%,3.32%,,,,,5.90%,,,,,,5.20%,,,,,,2.81%,,,,,,5.71%,,344869,344029,326043,363892,8.28%,5.13%,,,,,20.30%,,,,,,20.67%,,,,,,16.80%,,,,,,8.36%,,165537,165134,156500,174668,8.28%,5.13%,,,,,20.30%,,,,,,20.67%,,,,,,16.80%,,,,,,8.36%,,3324070,3300638,3137839,3594379,7.30%,4.17%,,,,,0.73%,,,,,,0.16%,,,,,,-2.21%,,,,,,6.81%,,1370437,1360593,1298468,1472464,7.30%,4.17%,,,,,6.19%,,,,,,5.69%,,,,,,3.09%,,,,,,6.81%,
3,525209,521834,488494,569106,6.78%,4.38%,,,,,4.95%,,,,,,5.02%,,,,,,2.59%,,,,,,6.84%,,272703,271236,254082,294808,6.78%,4.38%,,,,,6.26%,,,,,,6.33%,,,,,,3.87%,,,,,,6.84%,,401982,400844,381963,427968,9.05%,6.59%,,,,,19.28%,,,,,,19.23%,,,,,,16.59%,,,,,,8.83%,,192951,192405,183342,205424,9.05%,6.59%,,,,,19.28%,,,,,,19.23%,,,,,,16.59%,,,,,,8.83%,,3280361,3264977,3029420,3605992,7.61%,5.19%,,,,,0.94%,,,,,,0.98%,,,,,,-1.33%,,,,,,7.64%,,1426627,1420309,1327156,1551176,7.61%,5.19%,,,,,6.50%,,,,,,6.54%,,,,,,4.10%,,,,,,7.64%,
4,534359,528882,493558,581418,5.88%,3.50%,,,,,4.08%,,,,,,4.29%,,,,,,1.74%,,,,,,6.06%,,280869,278158,260048,304586,5.88%,3.50%,,,,,5.37%,,,,,,5.55%,,,,,,3.00%,,,,,,6.06%,,459445,458683,433061,486275,8.19%,5.76%,,,,,16.97%,,,,,,16.60%,,,,,,14.34%,,,,,,7.84%,,220534,220168,207869,233412,8.19%,5.76%,,,,,16.97%,,,,,,16.60%,,,,,,14.34%,,,,,,7.84%,,3208961,3179791,2952333,3522205,6.80%,4.40%,,,,,0.05%,,,,,,0.28%,,,,,,-2.20%,,,,,,6.96%,,1473845,1463727,1371614,1592162,6.80%,4.40%,,,,,5.69%,,,,,,5.89%,,,,,,3.31%,,,,,,6.96%,
5,544013,541431,490788,603836,5.89%,3.51%,,,,,4.10%,,,,,,4.06%,,,,,,1.76%,,,,,,5.82%,,289416,288122,261942,320184,5.89%,3.51%,,,,,5.37%,,,,,,5.32%,,,,,,3.01%,,,,,,5.82%,,519539,517329,485852,550366,8.00%,5.57%,,,,,15.68%,,,,,,15.54%,,,,,,13.08%,,,,,,7.74%,,249378,248317,233209,264175,8.00%,5.57%,,,,,15.68%,,,,,,15.54%,,,,,,13.08%,,,,,,7.74%,,3132794,3119037,2799353,3529340,6.67%,4.28%,,,,,-0.22%,,,,,,-0.29%,,,,,,-2.46%,,,,,,6.54%,,1521444,1514936,1378466,1691445,6.67%,4.28%,,,,,5.55%,,,,,,5.39%,,,,,,3.18%,,,,,,6.54%,
6,556089,548359,497108,633950,6.29%,3.90%,,,,,4.52%,,,,,,3.99%,,,,,,2.17%,,,,,,5.91%,,299372,295206,268610,339477,6.29%,3.90%,,,,,5.78%,,,,,,5.35%,,,,,,3.40%,,,,,,5.91%,,583406,574490,542793,638666,8.07%,5.64%,,,,,14.87%,,,,,,14.33%,,,,,,12.28%,,,,,,7.48%,,280035,275755,260540,306559,8.07%,5.64%,,,,,14.87%,,,,,,14.33%,,,,,,12.28%,,,,,,7.48%,,3065588,3036888,2705240,3556371,7.08%,4.67%,,,,,0.02%,,,,,,-0.27%,,,,,,-2.23%,,,,,,6.66%,,1576163,1565113,1422531,1769866,7.08%,4.67%,,,,,5.95%,,,,,,5.49%,,,,,,3.57%,,,,,,6.66%,
7,571164,558440,505730,663507,6.79%,4.39%,,,,,5.06%,,,,,,5.12%,,,,,,2.69%,,,,,,6.88%,,311083,304338,276678,357959,6.79%,4.39%,,,,,6.30%,,,,,,6.44%,,,,,,3.91%,,,,,,6.88%,,652259,642261,603371,720090,8.36%,5.93%,,,,,14.43%,,,,,,14.57%,,,,,,11.85%,,,,,,8.34%,,313084,308285,289618,345643,8.36%,5.93%,,,,,14.43%,,,,,,14.57%,,,,,,11.85%,,,,,,8.34%,,3011826,2953754,2622059,3523363,7.63%,5.21%,,,,,0.42%,,,,,,0.50%,,,,,,-1.84%,,,,,,7.65%,,1641013,1613014,1472614,1883394,7.63%,5.21%,,,,,6.50%,,,,,,6.56%,,,,,,4.11%,,,,,,7.65%,
8,587541,578483,514178,672635,6.95%,4.55%,,,,,5.26%,,,,,,5.27%,,,,,,2.89%,,,,,,7.07%,,323664,319089,286053,367600,6.95%,4.55%,,,,,6.47%,,,,,,6.57%,,,,,,4.08%,,,,,,7.07%,,726821,718217,670336,794903,8.62%,6.17%,,,,,14.04%,,,,,,13.70%,,,,,,11.48%,,,,,,8.18%,,348874,344744,321761,381553,8.62%,6.17%,,,,,14.04%,,,,,,13.70%,,,,,,11.48%,,,,,,8.18%,,2957385,2896584,2466554,3479369,7.72%,5.30%,,,,,0.38%,,,,,,0.34%,,,,,,-1.87%,,,,,,7.67%,,1709485,1684657,1487949,1940862,7.72%,5.30%,,,,,6.59%,,,,,,6.57%,,,,,,4.19%,,,,,,7.67%,
9,603056,599900,520478,705177,6.61%,4.21%,,,,,4.96%,,,,,,4.90%,,,,,,2.60%,,,,,,6.63%,,335928,334995,293180,390123,6.61%,4.21%,,,,,6.15%,,,,,,6.11%,,,,,,3.76%,,,,,,6.63%,,806410,800771,726606,897384,8.62%,6.18%,,,,,13.49%,,,,,,13.32%,,,,,,10.94%,,,,,,8.33%,,387077,384370,348771,430744,8.62%,6.18%,,,,,13.49%,,,,,,13.32%,,,,,,10.94%,,,,,,8.33%,,2853688,2814143,2302918,3436577,7.42%,5.01%,,,,,-1.46%,,,,,,-1.81%,,,,,,-3.67%,,,,,,7.06%,,1776745,1764296,1531907,2043447,7.42%,5.01%,,,,,6.29%,,,,,,5.98%,,,,,,3.90%,,,,,,7.06%,
10,594840,593716,508863,691212,6.80%,4.40%,,,,,0.85%,,,,,,0.79%,,,,,,-1.41%,,,,,,6.86%,,331998,331001,287870,379543,6.80%,4.40%,,,,,1.07%,,,,,,0.96%,,,,,,-1.20%,,,,,,6.86%,,863279,858036,778488,960553,8.63%,6.18%,,,,,9.58%,,,,,,9.66%,,,,,,7.12%,,,,,,8.94%,,414374,411857,373674,461065,8.63%,6.18%,,,,,9.58%,,,,,,9.66%,,,,,,7.12%,,,,,,8.94%,,2713636,2670164,2114504,3362605,7.62%,5.20%,,,,,-2.88%,,,,,,-2.88%,,,,,,-5.06%,,,,,,7.74%,,1788874,1774176,1529140,2069418,7.62%,5.20%,,,,,2.98%,,,,,,3.14%,,,,,,0.67%,,,,,,7.74%,
