Year,BROKERAGE-1 $Future(mean),BROKERAGE-1 $Future(median),BROKERAGE-1 $Future(p10),BROKERAGE-1 $Future(p90),BROKERAGE-1 NominalYoY(mean),BROKERAGE-1 RealYoY(mean),BROKERAGE-1__agg_nom $Future(mean),BROKERAGE-1__agg_nom $Future(median),BROKERAGE-1__agg_nom $Future(p10),BROKERAGE-1__agg_nom $Future(p90),BROKERAGE-1__agg_nom NominalYoY(mean),BROKERAGE-1__agg_nom RealYoY(mean),BROKERAGE-1__agg_nom_med $Future(mean),BROKERAGE-1__agg_nom_med $Future(median),BROKERAGE-1__agg_nom_med $Future(p10),BROKERAGE-1__agg_nom_med $Future(p90),BROKERAGE-1__agg_nom_med NominalYoY(mean),BROKERAGE-1__agg_nom_med RealYoY(mean),BROKERAGE-1__agg_real $Future(mean),BROKERAGE-1__agg_real $Future(median),BROKERAGE-1__agg_real $Future(p10),BROKERAGE-1__agg_real $Future(p90),BROKERAGE-1__agg_real NominalYoY(mean),BROKERAGE-1__agg_real RealYoY(mean),BROKERAGE-1__inv_med $Future(mean),BROKERAGE-1__inv_med $Future(median),BROKERAGE-1__inv_med $Future(p10),BROKERAGE-1__inv_med $Future(p90),BROKERAGE-1__inv_med NominalYoY(mean),BROKERAGE-1__inv_med RealYoY(mean),BROKERAGE-2 $Future(mean),BROKERAGE-2 $Future(median),BROKERAGE-2 $Future(p10),BROKERAGE-2 $Future(p90),BROKERAGE-2 NominalYoY(mean),BROKERAGE-2 RealYoY(mean),BROKERAGE-2__agg_nom $Future(mean),BROKERAGE-2__agg_nom $Future(median),BROKERAGE-2__agg_nom $Future(p10),BROKERAGE-2__agg_nom $Future(p90),BROKERAGE-2__agg_nom NominalYoY(mean),BROKERAGE-2__agg_nom RealYoY(mean),BROKERAGE-2__agg_nom_med $Future(mean),BROKERAGE-2__agg_nom_med $Future(median),BROKERAGE-2__agg_nom_med $Future(p10),BROKERAGE-2__agg_nom_med $Future(p90),BROKERAGE-2__agg_nom_med NominalYoY(mean),BROKERAGE-2__agg_nom_med RealYoY(mean),BROKERAGE-2__agg_real $Future(mean),BROKERAGE-2__agg_real $Future(median),BROKERAGE-2__agg_real $Future(p10),BROKERAGE-2__agg_real $Future(p90),BROKERAGE-2__agg_real NominalYoY(mean),BROKERAGE-2__agg_real RealYoY(mean),BROKERAGE-2__inv_med $Future(mean),BROKERAGE-2__inv_med $Future(median),BROKERAGE-2__inv_med $Future(p10),BROKERAGE-2__inv_med $Future(p90),BROKERAGE-2__inv_med NominalYoY(mean),BROKERAGE-2__inv_med RealYoY(mean),ROTH_IRA-1 $Future(mean),ROTH_IRA-1 $Future(median),ROTH_IRA-1 $Future(p10),ROTH_IRA-1 $Future(p90),ROTH_IRA-1 NominalYoY(mean),ROTH_IRA-1 RealYoY(mean),ROTH_IRA-1__agg_nom $Future(mean),ROTH_IRA-1__agg_nom $Future(median),ROTH_IRA-1__agg_nom $Future(p10),ROTH_IRA-1__agg_nom $Future(p90),ROTH_IRA-1__agg_nom NominalYoY(mean),ROTH_IRA-1__agg_nom RealYoY(mean),ROTH_IRA-1__agg_nom_med $Future(mean),ROTH_IRA-1__agg_nom_med $Future(median),ROTH_IRA-1__agg_nom_med $Future(p10),ROTH_IRA-1__agg_nom_med $Future(p90),ROTH_IRA-1__agg_nom_med NominalYoY(mean),ROTH_IRA-1__agg_nom_med RealYoY(mean),ROTH_IRA-1__agg_real $Future(mean),ROTH_IRA-1__agg_real $Future(median),ROTH_IRA-1__agg_real $Future(p10),ROTH_IRA-1__agg_real $Future(p90),ROTH_IRA-1__agg_real NominalYoY(mean),ROTH_IRA-1__agg_real RealYoY(mean),ROTH_IRA-1__inv_med $Future(mean),ROTH_IRA-1__inv_med $Future(median),ROTH_IRA-1__inv_med $Future(p10),ROTH_IRA-1__inv_med $Future(p90),ROTH_IRA-1__inv_med NominalYoY(mean),ROTH_IRA-1__inv_med RealYoY(mean),ROTH_IRA-2 $Future(mean),ROTH_IRA-2 $Future(median),ROTH_IRA-2 $Future(p10),ROTH_IRA-2 $Future(p90),ROTH_IRA-2 NominalYoY(mean),ROTH_IRA-2 RealYoY(mean),ROTH_IRA-2__agg_nom $Future(mean),ROTH_IRA-2__agg_nom $Future(median),ROTH_IRA-2__agg_nom $Future(p10),ROTH_IRA-2__agg_nom $Future(p90),ROTH_IRA-2__agg_nom NominalYoY(mean),ROTH_IRA-2__agg_nom RealYoY(mean),ROTH_IRA-2__agg_nom_med $Future(mean),ROTH_IRA-2__agg_nom_med $Future(median),ROTH_IRA-2__agg_nom_med $Future(p10),ROTH_IRA-2__agg_nom_med $Future(p90),ROTH_IRA-2__agg_nom_med NominalYoY(mean),ROTH_IRA-2__agg_nom_med RealYoY(mean),ROTH_IRA-2__agg_real $Future(mean),ROTH_IRA-2__agg_real $Future(median),ROTH_IRA-2__agg_real $Future(p10),ROTH_IRA-2__agg_real $Future(p90),ROTH_IRA-2__agg_real NominalYoY(mean),ROTH_IRA-2__agg_real RealYoY(mean),ROTH_IRA-2__inv_med $Future(mean),ROTH_IRA-2__inv_med $Future(median),ROTH_IRA-2__inv_med $Future(p10),ROTH_IRA-2__inv_med $Future(p90),ROTH_IRA-2__inv_med NominalYoY(mean),ROTH_IRA-2__inv_med RealYoY(mean),TRAD_IRA-1 $Future(mean),TRAD_IRA-1 $Future(median),TRAD_IRA-1 $Future(p10),TRAD_IRA-1 $Future(p90),TRAD_IRA-1 NominalYoY(mean),TRAD_IRA-1 RealYoY(mean),TRAD_IRA-1__agg_nom $Future(mean),TRAD_IRA-1__agg_nom $Future(median),TRAD_IRA-1__agg_nom $Future(p10),TRAD_IRA-1__agg_nom $Future(p90),TRAD_IRA-1__agg_nom NominalYoY(mean),TRAD_IRA-1__agg_nom RealYoY(mean),TRAD_IRA-1__agg_nom_med $Future(mean),TRAD_IRA-1__agg_nom_med $Future(median),TRAD_IRA-1__agg_nom_med $Future(p10),TRAD_IRA-1__agg_nom_med $Future(p90),TRAD_IRA-1__agg_nom_med NominalYoY(mean),TRAD_IRA-1__agg_nom_med RealYoY(mean),TRAD_IRA-1__agg_real $Future(mean),TRAD_IRA-1__agg_real $Future(median),TRAD_IRA-1__agg_real $Future(p10),TRAD_IRA-1__agg_real $Future(p90),TRAD_IRA-1__agg_real NominalYoY(mean),TRAD_IRA-1__agg_real RealYoY(mean),TRAD_IRA-1__inv_med $Future(mean),TRAD_IRA-1__inv_med $Future(median),TRAD_IRA-1__inv_med $Future(p10),TRAD_IRA-1__inv_med $Future(p90),TRAD_IRA-1__inv_med NominalYoY(mean),TRAD_IRA-1__inv_med RealYoY(mean),TRAD_IRA-2 $Future(mean),TRAD_IRA-2 $Future(median),TRAD_IRA-2 $Future(p10),TRAD_IRA-2 $Future(p90),TRAD_IRA-2 NominalYoY(mean),TRAD_IRA-2 RealYoY(mean),TRAD_IRA-2__agg_nom $Future(mean),TRAD_IRA-2__agg_nom $Future(median),TRAD_IRA-2__agg_nom $Future(p10),TRAD_IRA-2__agg_nom $Future(p90),TRAD_IRA-2__agg_nom NominalYoY(mean),TRAD_IRA-2__agg_nom RealYoY(mean),TRAD_IRA-2__agg_nom_med $Future(mean),TRAD_IRA-2__agg_nom_med $Future(median),TRAD_IRA-2__agg_nom_med $Future(p10),TRAD_IRA-2__agg_nom_med $Future(p90),TRAD_IRA-2__agg_nom_med NominalYoY(mean),TRAD_IRA-2__agg_nom_med RealYoY(mean),TRAD_IRA-2__agg_real $Future(mean),TRAD_IRA-2__agg_real $Future(median),TRAD_IRA-2__agg_real $Future(p10),TRAD_IRA-2__agg_real $Future(p90),TRAD_IRA-2__agg_real NominalYoY(mean),TRAD_IRA-2__agg_real RealYoY(mean),TRAD_IRA-2__inv_med $Future(mean),TRAD_IRA-2__inv_med $Future(median),TRAD_IRA-2__inv_med $Future(p10),TRAD_IRA-2__inv_med $Future(p90),TRAD_IRA-2__inv_med NominalYoY(mean),TRAD_IRA-2__inv_med RealYoY(mean)
1,519370,518335,498338,538847,5.71%,2.63%,,,,,3.87%,,,,,,3.67%,,,,,,0.85%,,,,,,5.50%,,263011,262494,252495,272749,5.71%,2.63%,,,,,5.20%,,,,,,5.00%,,,,,,2.14%,,,,,,5.50%,,304132,304222,292080,317901,7.47%,4.34%,,,,,21.65%,,,,,,21.69%,,,,,,18.11%,,,,,,7.51%,,145983,146026,140198,152592,7.47%,4.34%,,,,,21.65%,,,,,,21.69%,,,,,,18.11%,,,,,,7.51%,,3500816,3490520,3338667,3645393,6.41%,3.31%,,,,,0.02%,,,,,,-0.27%,,,,,,-2.89%,,,,,,6.12%,,1369166,1365341,1308939,1422866,6.41%,3.31%,,,,,5.32%,,,,,,5.03%,,,,,,2.25%,,,,,,6.12%,
2,543131,539930,512529,585444,6.42%,3.32%,,,,,4.57%,,,,,,3.90%,,,,,,1.52%,,,,,,5.71%,,278539,276942,263183,299844,6.42%,3.32%,,,,,5.90%,,,,,,5.20%,,,,,,2.81%,,,,,,5.71%,,365871,364980,345899,386053,8.28%,5.13%,,,,,20.30%,,,,,,20.67%,,,,,,16.80%,,,,,,8.36%,,175618,175190,166031,185305,8.28%,5.13%,,,,,20.30%,,,,,,20.67%,,,,,,16.80%,,,,,,8.36%,,3526506,3501647,3328933,3813277,7.30%,4.17%,,,,,0.73%,,,,,,0.16%,,,,,,-2.21%,,,,,,6.81%,,1453897,1443453,1377545,1562138,7.30%,4.17%,,,,,6.19%,,,,,,5.69%,,,,,,3.09%,,,,,,6.81%,
3,570009,566346,530163,617652,6.78%,4.38%,,,,,4.95%,,,,,,5.02%,,,,,,2.59%,,,,,,6.84%,,295965,294372,275755,319955,6.78%,4.38%,,,,,6.26%,,,,,,6.33%,,,,,,3.87%,,,,,,6.84%,,436271,435036,414545,464474,9.05%,6.59%,,,,,19.28%,,,,,,19.23%,,,,,,16.59%,,,,,,8.83%,,209410,208817,198981,222947,9.05%,6.59%,,,,,19.28%,,,,,,19.23%,,,,,,16.59%,,,,,,8.83%,,3560178,3543482,3287831,3913585,7.61%,5.19%,,,,,0.94%,,,,,,0.98%,,,,,,-1.33%,,,,,,7.64%,,1548319,1541462,1440364,1683492,7.61%,5.19%,,,,,6.50%,,,,,,6.54%,,,,,,4.10%,,,,,,7.64%,
4,593279,587199,547979,645526,5.88%,3.50%,,,,,4.08%,,,,,,4.29%,,,,,,1.74%,,,,,,6.06%,,311838,308829,288721,338170,5.88%,3.50%,,,,,5.37%,,,,,,5.55%,,,,,,3.00%,,,,,,6.06%,,510105,509259,480811,539893,8.19%,5.76%,,,,,16.97%,,,,,,16.60%,,,,,,14.34%,,,,,,7.84%,,244850,244444,230789,259148,8.19%,5.76%,,,,,16.97%,,,,,,16.60%,,,,,,14.34%,,,,,,7.84%,,3562790,3530403,3277865,3910572,6.80%,4.40%,,,,,0.05%,,,,,,0.28%,,,,,,-2.20%,,,,,,6.96%,,1636355,1625121,1522851,1767719,6.80%,4.40%,,,,,5.69%,,,,,,5.89%,,,,,,3.31%,,,,,,6.96%,
5,617890,614956,557437,685836,5.89%,3.51%,,,,,4.10%,,,,,,4.06%,,,,,,1.76%,,,,,,5.82%,,328719,327249,297513,363665,5.89%,3.51%,,,,,5.37%,,,,,,5.32%,,,,,,3.01%,,,,,,5.82%,,590091,587581,551830,625105,8.00%,5.57%,,,,,15.68%,,,,,,15.54%,,,,,,13.08%,,,,,,7.74%,,283244,282039,264878,300050,8.00%,5.57%,,,,,15.68%,,,,,,15.54%,,,,,,13.08%,,,,,,7.74%,,3558223,3542598,3179501,4008619,6.67%,4.28%,,,,,-0.22%,,,,,,-0.29%,,,,,,-2.46%,,,,,,6.54%,,1728055,1720663,1565660,1921141,6.67%,4.28%,,,,,5.55%,,,,,,5.39%,,,,,,3.18%,,,,,,6.54%,
6,646132,637151,577600,736600,6.29%,3.90%,,,,,4.52%,,,,,,3.99%,,,,,,2.17%,,,,,,5.91%,,347848,343007,312103,394446,6.29%,3.90%,,,,,5.78%,,,,,,5.35%,,,,,,3.40%,,,,,,5.91%,,677873,667513,630683,742080,8.07%,5.64%,,,,,14.87%,,,,,,14.33%,,,,,,12.28%,,,,,,7.48%,,325379,320406,302728,356198,8.07%,5.64%,,,,,14.87%,,,,,,14.33%,,,,,,12.28%,,,,,,7.48%,,3561975,3528627,3143277,4132226,7.08%,4.67%,,,,,0.02%,,,,,,-0.27%,,,,,,-2.23%,,,,,,6.66%,,1831379,1818539,1652870,2056447,7.08%,4.67%,,,,,5.95%,,,,,,5.49%,,,,,,3.57%,,,,,,6.66%,
7,678912,663788,601134,788676,6.79%,4.39%,,,,,5.06%,,,,,,5.12%,,,,,,2.69%,,,,,,6.88%,,369768,361750,328872,425487,6.79%,4.39%,,,,,6.30%,,,,,,6.44%,,,,,,3.91%,,,,,,6.88%,,775306,763421,717195,855932,8.36%,5.93%,,,,,14.43%,,,,,,14.57%,,,,,,11.85%,,,,,,8.34%,,372146,366442,344253,410847,8.36%,5.93%,,,,,14.43%,,,,,,14.57%,,,,,,11.85%,,,,,,8.34%,,3579996,3510968,3116701,4188033,7.63%,5.21%,,,,,0.42%,,,,,,0.50%,,,,,,-1.84%,,,,,,7.65%,,1950584,1917303,1750417,2238689,7.63%,5.21%,,,,,6.50%,,,,,,6.56%,,,,,,4.11%,,,,,,7.65%,
8,714442,703426,625233,817914,6.95%,4.55%,,,,,5.26%,,,,,,5.27%,,,,,,2.89%,,,,,,7.07%,,393570,388008,347836,446996,6.95%,4.55%,,,,,6.47%,,,,,,6.57%,,,,,,4.08%,,,,,,7.07%,,883803,873342,815119,966590,8.62%,6.17%,,,,,14.04%,,,,,,13.70%,,,,,,11.48%,,,,,,8.18%,,424225,419204,391257,463963,8.62%,6.17%,,,,,14.04%,,,,,,13.70%,,,,,,11.48%,,,,,,8.18%,,3596136,3522203,2999293,4230861,7.72%,5.30%,,,,,0.38%,,,,,,0.34%,,,,,,-1.87%,,,,,,7.67%,,2078709,2048517,1809324,2360059,7.72%,5.30%,,,,,6.59%,,,,,,6.57%,,,,,,4.19%,,,,,,7.67%,
9,750174,746248,647451,877207,6.61%,4.21%,,,,,4.96%,,,,,,4.90%,,,,,,2.60%,,,,,,6.63%,,417879,416718,364703,485295,6.61%,4.21%,,,,,6.15%,,,,,,6.11%,,,,,,3.76%,,,,,,6.63%,,1003136,996122,903863,1116304,8.62%,6.18%,,,,,13.49%,,,,,,13.32%,,,,,,10.94%,,,,,,8.33%,,481505,478138,433854,535826,8.62%,6.18%,,,,,13.49%,,,,,,13.32%,,,,,,10.94%,,,,,,8.33%,,3549853,3500661,2864721,4274940,7.42%,5.01%,,,,,-1.46%,,,,,,-1.81%,,,,,,-3.67%,,,,,,7.06%,,2210186,2194701,1905620,2541952,7.42%,5.01%,,,,,6.29%,,,,,,5.98%,,,,,,3.90%,,,,,,7.06%,
10,756972,755542,647561,879611,6.80%,4.40%,,,,,0.85%,,,,,,0.79%,,,,,,-1.41%,,,,,,6.86%,,422489,421220,366333,482992,6.80%,4.40%,,,,,1.07%,,,,,,0.96%,,,,,,-1.20%,,,,,,6.86%,,1098578,1091905,990675,1222364,8.63%,6.18%,,,,,9.58%,,,,,,9.66%,,,,,,7.12%,,,,,,8.94%,,527317,524114,475524,586735,8.63%,6.18%,,,,,9.58%,,,,,,9.66%,,,,,,7.12%,,,,,,8.94%,,3453275,3397954,2690841,4279130,7.62%,5.20%,,,,,-2.88%,,,,,,-2.88%,,,,,,-5.06%,,,,,,7.74%,,2276457,2257752,1945928,2633466,7.62%,5.20%,,,,,2.98%,,,,,,3.14%,,,,,,0.67%,,,,,,7.74%,
