Account,EndingFutureMean,EndingCurrentMean
BROKERAGE-1,10002982,3298940
BROKERAGE-1__conv_tax_out_cur,0,0
BROKERAGE-1__conv_tax_out_fut,0,0
BROKERAGE-1__reinvest_cur,2611995,0
BROKERAGE-1__reinvest_fut,7920042,0
BROKERAGE-1__rmd_out_cur,0,0
BROKERAGE-1__rmd_out_fut,0,0
BROKERAGE-1__withdrawal_out_cur,100000,0
BROKERAGE-1__withdrawal_out_fut,303218,0
BROKERAGE-2,8193106,2702050
BROKERAGE-2__conv_tax_out_cur,0,0
BROKERAGE-2__conv_tax_out_fut,0,0
BROKERAGE-2__reinvest_cur,2141388,0
BROKERAGE-2__reinvest_fut,6493077,0
BROKERAGE-2__rmd_out_cur,0,0
BROKERAGE-2__rmd_out_fut,0,0
BROKERAGE-2__withdrawal_out_cur,0,0
BROKERAGE-2__withdrawal_out_fut,0,0
ROTH_IRA-1,44645974,14724048
ROTH_IRA-1__conversion_in_cur,0,0
ROTH_IRA-1__conversion_in_fut,0,0
ROTH_IRA-1__reinvest_cur,0,0
ROTH_IRA-1__reinvest_fut,0,0
ROTH_IRA-1__rmd_out_cur,0,0
ROTH_IRA-1__rmd_out_fut,0,0
ROTH_IRA-1__withdrawal_out_cur,0,0
ROTH_IRA-1__withdrawal_out_fut,0,0
ROTH_IRA-2,21430067,7067543
ROTH_IRA-2__conversion_in_cur,0,0
ROTH_IRA-2__conversion_in_fut,0,0
ROTH_IRA-2__reinvest_cur,0,0
ROTH_IRA-2__reinvest_fut,0,0
ROTH_IRA-2__rmd_out_cur,0,0
ROTH_IRA-2__rmd_out_fut,0,0
ROTH_IRA-2__withdrawal_out_cur,0,0
ROTH_IRA-2__withdrawal_out_fut,0,0
TRAD_IRA-1,71381758,23541394
TRAD_IRA-1__conversion_out_cur,0,0
TRAD_IRA-1__conversion_out_fut,0,0
TRAD_IRA-1__reinvest_cur,0,0
TRAD_IRA-1__reinvest_fut,0,0
TRAD_IRA-1__rmd_out_cur,3560801,0
TRAD_IRA-1__rmd_out_fut,10796992,0
TRAD_IRA-1__withdrawal_out_cur,94791,0
TRAD_IRA-1__withdrawal_out_fut,287425,0
TRAD_IRA-2,26513224,8743946
TRAD_IRA-2__conversion_out_cur,0,0
TRAD_IRA-2__conversion_out_fut,0,0
TRAD_IRA-2__reinvest_cur,0,0
TRAD_IRA-2__reinvest_fut,0,0
TRAD_IRA-2__rmd_out_cur,1322583,0
TRAD_IRA-2__rmd_out_fut,4010311,0
TRAD_IRA-2__withdrawal_out_cur,35208,0
TRAD_IRA-2__withdrawal_out_fut,106758,0
