Year,FedTax,StateTax,NIIT,Excise,TaxShortfall,RealizedGains,RMD,RMD FedTax,RMD StateTax,RMD NIIT,RMD Shortfall
1,28372,11732,0,0,0,0,0,,,,
2,28372,11938,0,0,0,0,0,,,,
3,28372,12083,0,0,0,0,0,,,,
4,28372,12190,0,0,0,0,0,,,,
5,28372,12270,0,0,0,0,0,,,,
6,28372,12322,0,0,0,0,0,,,,
7,28372,12370,0,0,0,0,0,,,,
8,28372,12399,0,0,0,0,0,,,,
9,28372,12414,0,0,0,0,0,,,,
10,28372,12429,0,0,0,0,0,,,,
11,28372,12434,0,0,0,0,0,,,,
12,28372,12441,0,0,0,0,0,,,,
13,28372,12441,0,0,0,0,0,,,,
14,28372,12442,0,0,0,0,0,,,,
15,28372,12442,0,0,0,0,0,,,,
16,28372,12442,0,0,0,0,0,,,,
17,28371,12442,0,0,0,0,0,,,,
18,28372,12442,0,0,0,0,0,,,,
19,0,1292,0,0,0,0,0,,,,
20,0,1292,0,0,0,0,0,,,,
21,0,1292,0,0,0,0,0,,,,
22,0,1292,0,0,0,0,0,,,,
23,0,1292,0,0,0,0,0,,,,
24,0,1292,0,0,0,0,0,,,,
25,0,1292,0,0,0,0,0,,,,
26,0,1292,0,0,0,0,0,,,,
27,0,1292,0,0,0,0,0,,,,
28,0,1292,0,0,0,0,0,,,,
29,0,1292,0,0,0,0,0,,,,
30,211428,69524,29409,0,0,0,785433,,,,
31,237278,76996,32111,0,0,0,856527,,,,
32,262142,84410,34692,0,0,0,924455,,,,
33,292647,93569,37841,0,0,0,1007332,,,,
34,326984,104020,41376,0,0,0,1100348,,,,
35,365802,116081,45366,0,0,0,1205358,,,,
36,404781,128231,49371,0,0,0,1310740,,,,
37,450048,142554,54020,0,0,0,1433084,,,,
38,500571,158803,59209,0,0,0,1569631,,,,
39,561028,178519,65418,0,0,0,1733029,,,,
40,625563,199809,72046,0,0,0,1907449,,,,
41,694886,222775,79165,0,0,0,2094807,,,,
42,777466,250181,87646,0,0,0,2317996,,,,
43,866913,279903,96833,0,0,0,2559746,,,,
44,974336,315611,107865,0,0,0,2850078,,,,
45,1088157,353448,119555,0,0,0,3157702,,,,
46,1218027,396622,132893,0,0,0,3508703,,,,
47,1365835,445758,148073,0,0,0,3908183,,,,
48,1538077,503017,165763,0,0,0,4373702,,,,
49,1726659,565707,185131,0,0,0,4883384,,,,
