Year,FutureMean,CurrentMean,FutureMedian,FutureP10,FutureP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,6195046,6014608,6176953,5933483,6457443,4.65%,1.60%,6.49%,3.39%
2,6643561,6262193,6624307,6222021,7142624,7.22%,4.10%,7.16%,4.04%
3,7148129,6586312,7146590,6618690,7710110,7.60%,5.18%,7.51%,5.10%
4,7648068,6888521,7624725,7079561,8246500,7.00%,4.60%,6.93%,4.53%
5,8167299,7190798,8159772,7379936,8900029,6.76%,4.36%,6.69%,4.29%
6,8746630,7527725,8679590,7848754,9857846,7.09%,4.68%,7.02%,4.61%
7,9407697,7914632,9273642,8432130,10851254,7.56%,5.14%,7.49%,5.07%
8,10152745,8349399,10046822,8944360,11616139,7.93%,5.50%,7.85%,5.43%
9,10917482,8776444,10777741,9524112,12473240,7.50%,5.08%,7.43%,5.02%
10,11755851,9237928,11585038,10024029,13510680,7.67%,5.25%,7.61%,5.19%
11,12676048,9727570,12603383,11004522,14377693,7.86%,5.33%,7.79%,5.27%
12,13580656,10177504,13570997,11605820,15439023,7.17%,4.66%,7.12%,4.61%
13,14649219,10720995,14739731,12528594,16802764,7.90%,5.37%,7.84%,5.31%
14,15702952,11222819,15728714,13249963,18246984,7.24%,4.72%,7.19%,4.67%
15,16885405,11785071,16829080,14133077,19360195,7.50%,4.98%,7.45%,4.93%
16,17995595,12265547,17761860,15178394,20670171,6.55%,4.05%,6.51%,4.01%
17,19270217,12826477,19248029,16175616,22202151,7.08%,4.57%,7.04%,4.53%
18,20631352,13410609,20593141,17082321,24192970,7.04%,4.54%,7.01%,4.50%
19,22069001,14008884,21961519,17987131,25528978,6.86%,4.35%,7.02%,4.51%
20,23487759,14560038,23263408,19189900,28276781,6.38%,3.89%,6.35%,3.86%
21,25194181,15281650,24874537,20694485,30963979,7.23%,4.92%,7.18%,4.88%
22,26917163,15975277,26510121,21720303,33230592,6.77%,4.48%,6.73%,4.44%
23,28939648,16805888,27999783,23261862,35233497,7.46%,5.15%,7.42%,5.10%
24,31137248,17692840,30190743,24944778,38672051,7.57%,5.26%,7.53%,5.22%
25,33472115,18610138,32979263,26232468,42198757,7.43%,5.12%,7.39%,5.08%
26,36050255,19612090,35064072,28103628,45296544,7.61%,5.30%,7.58%,5.26%
27,38631067,20563704,38001818,31047890,48574726,7.20%,4.89%,7.16%,4.86%
28,41455079,21591932,40574413,32920433,53243657,7.29%,4.98%,7.26%,4.95%
29,44226485,22539552,42702908,35068885,56682374,6.66%,4.36%,6.63%,4.34%
30,47071360,23473006,46050861,36026411,59663839,6.40%,4.11%,6.97%,4.67%
31,50581132,24680253,49825666,38950006,64942059,7.47%,5.16%,7.42%,5.11%
32,53948619,25756716,52285932,41846672,69173859,6.57%,4.27%,6.53%,4.24%
33,57757745,26981712,55784355,45055837,74115561,7.06%,4.76%,7.02%,4.72%
34,61877365,28283958,59825450,48291997,81786181,7.29%,4.98%,7.25%,4.94%
35,66354940,29677734,63393154,50611847,87328468,7.07%,4.77%,7.04%,4.73%
36,70855114,31008287,66960449,54547869,92744876,6.92%,4.62%,6.89%,4.59%
37,75532823,32343826,72991527,57543419,98589660,6.67%,4.37%,6.64%,4.35%
38,80955713,33919723,77944207,61476770,106505921,7.28%,4.97%,7.25%,4.94%
39,86761328,35569690,82280306,64865405,111624890,7.20%,4.89%,7.17%,4.87%
40,92973802,37296114,89057407,69392002,119636731,7.18%,4.87%,7.16%,4.85%
41,99191991,38933972,94420098,71928490,131169116,6.60%,4.30%,6.58%,4.29%
42,106342453,40842083,102347240,77919288,142288402,7.22%,4.91%,7.20%,4.90%
43,114249376,42934276,111860311,81821598,155026248,7.20%,4.89%,7.18%,4.87%
44,122523418,45052460,119895904,86662587,164375450,7.31%,5.00%,7.29%,4.98%
45,131258580,47225462,129845293,94132620,180709739,7.30%,4.99%,7.29%,4.98%
46,140585458,49492344,138845934,102080145,190284178,7.17%,4.86%,7.16%,4.85%
47,150356757,51792834,149275055,108700949,205716083,6.95%,4.65%,6.95%,4.64%
48,160909918,54234875,157935283,117059929,220334823,6.93%,4.63%,6.93%,4.63%
49,172774613,56980317,169864663,126799682,230670598,7.54%,5.23%,7.54%,5.22%
