Year,CurrentMean,FutureMean,CurrentMedian,CurrentP10,CurrentP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,6034608,6215646,6017042,5780663,6289362,4.99%,1.94%,6.49%,3.39%
2,6282193,6664779,6264045,5884852,6752608,7.21%,4.09%,7.16%,4.04%
3,6606312,7169835,6604894,6118485,7124123,7.58%,5.16%,7.51%,5.10%
4,6908521,7670273,6887496,6396474,7447522,6.99%,4.59%,6.93%,4.53%
5,7210798,8190015,7204171,6517574,7855922,6.74%,4.34%,6.69%,4.29%
6,7547725,8769869,7490028,6774975,8504086,7.08%,4.67%,7.02%,4.61%
7,7934632,9431470,7821852,7113894,9149086,7.55%,5.13%,7.49%,5.07%
8,8369399,10177064,8282291,7375650,9572863,7.91%,5.49%,7.85%,5.43%
9,8796444,10942361,8684108,7676329,10047101,7.49%,5.07%,7.43%,5.02%
10,9257928,11781303,9123700,7897035,10636899,7.66%,5.24%,7.61%,5.19%
11,9747570,12702110,9691807,8464845,11053409,7.84%,5.32%,7.79%,5.27%
12,10197504,13607343,10190266,8717539,11590187,7.16%,4.65%,7.12%,4.61%
13,10740995,14676547,10807236,9189020,12317061,7.89%,5.36%,7.84%,5.31%
14,11242819,15730936,11261231,9489680,13061025,7.23%,4.71%,7.19%,4.67%
15,11805071,16914061,11765759,9884099,13532336,7.49%,4.97%,7.45%,4.93%
16,12285547,18024938,12126237,10365382,14108502,6.54%,4.04%,6.51%,4.01%
17,12846477,19300265,12831708,10786675,14798006,7.07%,4.56%,7.04%,4.53%
18,13430609,20662121,13405772,11123700,15745701,7.04%,4.53%,7.01%,4.50%
19,14008884,22069001,13940657,11417809,16205197,6.69%,4.19%,7.02%,4.51%
20,14574038,23510344,14434962,11909799,17542747,6.49%,3.99%,6.35%,3.86%
21,15295650,25217262,15101769,12566338,18795349,7.23%,4.92%,7.18%,4.88%
22,15989277,26940752,15747699,12904952,19736284,6.77%,4.47%,6.73%,4.44%
23,16819888,28963756,16274088,13522673,20474864,7.45%,5.14%,7.42%,5.10%
24,17706840,31161887,17169016,14188148,21988274,7.57%,5.25%,7.53%,5.22%
25,18624138,33497295,18350117,14598971,23476057,7.43%,5.11%,7.39%,5.08%
26,19626090,36075990,19089586,15302959,24656264,7.61%,5.29%,7.58%,5.26%
27,20577704,38657367,20242748,16541103,25870813,7.19%,4.89%,7.16%,4.86%
28,21605932,41481958,21147236,17160650,27746027,7.29%,4.98%,7.26%,4.95%
29,22553552,44253955,21777077,17886479,28901561,6.66%,4.36%,6.63%,4.34%
30,23473006,47071360,22964114,17965237,29752478,6.33%,4.04%,6.97%,4.67%
31,24680253,50581132,24311635,19005031,31687437,7.47%,5.16%,7.42%,5.11%
32,25756716,53948619,24962899,19978878,33025710,6.57%,4.27%,6.53%,4.24%
33,26981712,57757745,26059836,21047975,34623316,7.06%,4.76%,7.02%,4.72%
34,28283958,61877365,27346034,22074127,37384218,7.29%,4.98%,7.25%,4.94%
35,29677734,66354940,28353053,22636520,39058298,7.07%,4.77%,7.04%,4.73%
36,31008287,70855114,29303867,23871756,40587893,6.92%,4.62%,6.89%,4.59%
37,32343826,75532823,31255621,24640604,42216969,6.67%,4.37%,6.64%,4.35%
38,33919723,80955713,32657928,25758219,44625032,7.28%,4.97%,7.25%,4.94%
39,35569690,86761328,33732598,26592981,45763047,7.20%,4.89%,7.17%,4.87%
40,37296114,92973802,35725066,27836358,47991855,7.18%,4.87%,7.16%,4.85%
41,38933972,99191991,37060950,28232741,51485353,6.60%,4.30%,6.58%,4.29%
42,40842083,106342453,39307674,29925828,54647551,7.22%,4.91%,7.20%,4.90%
43,42934276,114249376,42036479,30748099,58257996,7.20%,4.89%,7.18%,4.87%
44,45052460,122523418,44086311,31866257,60441658,7.31%,5.00%,7.29%,4.98%
45,47225462,131258580,46716977,33867931,65017471,7.30%,4.99%,7.29%,4.98%
46,49492344,140585458,48879954,35936758,66988507,7.17%,4.86%,7.16%,4.85%
47,51792834,150356757,51420224,37443812,70862256,6.95%,4.65%,6.95%,4.64%
48,54234875,160909918,53232271,39455185,74264108,6.93%,4.63%,6.93%,4.63%
49,56980317,172774613,56020628,41817984,76074162,7.54%,5.23%,7.54%,5.22%
