Year,FutureMean,CurrentMean,FutureMedian,FutureP10,FutureP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,6147063,5968023,6129101,5885493,6409265,3.84%,0.81%,6.49%,3.39%
2,6592153,6213736,6572261,6170083,7091151,7.22%,4.10%,7.16%,4.04%
3,7093679,6536141,7091197,6565446,7656494,7.61%,5.19%,7.51%,5.10%
4,7590706,6836857,7568223,7024521,8188990,7.02%,4.61%,6.93%,4.53%
5,8107177,7137865,8103445,7324420,8831583,6.77%,4.37%,6.69%,4.29%
6,8683452,7473351,8612076,7790520,9793177,7.10%,4.70%,7.02%,4.61%
7,9341044,7858556,9206986,8366214,10782562,7.58%,5.16%,7.49%,5.07%
8,10083118,8292139,9975802,8885390,11541241,7.95%,5.53%,7.85%,5.43%
9,10846036,8719009,10703295,9461573,12405816,7.53%,5.11%,7.43%,5.02%
10,11682500,9180287,11506983,9953416,13461175,7.71%,5.28%,7.61%,5.19%
11,12599947,9669171,12536536,10918658,14311049,7.88%,5.35%,7.79%,5.27%
12,13503835,10119934,13484388,11564480,15387470,7.21%,4.70%,7.12%,4.61%
13,14573211,10665369,14641675,12443568,16732161,7.95%,5.42%,7.84%,5.31%
14,15627170,11168658,15624490,13131185,18192064,7.27%,4.76%,7.19%,4.67%
15,16808907,11731679,16761280,14086095,19309698,7.53%,5.01%,7.45%,4.93%
16,17921946,12215349,17701426,15156424,20578921,6.59%,4.10%,6.51%,4.01%
17,19203326,12781953,19171056,16071247,22108581,7.15%,4.64%,7.04%,4.53%
18,20571265,13371552,20552321,17050055,24061486,7.10%,4.59%,7.01%,4.50%
19,21974564,13948938,21901806,17894454,25391653,6.71%,4.20%,7.02%,4.51%
20,23404819,14508623,23159809,19129312,28213586,6.47%,3.97%,6.35%,3.86%
21,25122853,15238386,24740777,20555726,30870318,7.31%,5.00%,7.18%,4.88%
22,26857918,15940116,26439716,21626951,33145737,6.84%,4.54%,6.73%,4.44%
23,28899123,16782354,27959925,23181437,35215459,7.55%,5.23%,7.42%,5.10%
24,31111671,17678307,30090775,24806365,38648492,7.64%,5.32%,7.53%,5.22%
25,33468368,18608055,32753092,26287407,42141154,7.51%,5.20%,7.39%,5.08%
26,36079827,19628178,35061017,28169799,45436294,7.72%,5.40%,7.58%,5.26%
27,38683524,20591627,38160482,30981257,48605868,7.26%,4.95%,7.16%,4.86%
28,41547537,21640088,40731867,32999120,53361228,7.39%,5.08%,7.26%,4.95%
29,44366979,22611153,42935465,35182033,56719886,6.76%,4.46%,6.63%,4.34%
30,46936486,23405748,46026313,35972894,59564857,5.78%,3.50%,6.97%,4.67%
31,50464917,24623548,49837464,38645134,64463076,7.53%,5.22%,7.42%,5.11%
32,53863189,25715929,52180137,41722582,69362956,6.65%,4.35%,6.53%,4.24%
33,57698323,26953952,55670777,45096673,73612418,7.12%,4.82%,7.02%,4.72%
34,61846993,28270075,59757091,48868874,81231990,7.36%,5.05%,7.25%,4.94%
35,66352732,29676746,63225832,50847656,87192544,7.12%,4.81%,7.04%,4.73%
36,70885689,31021668,67044627,54745552,92946882,6.97%,4.67%,6.89%,4.59%
37,75592362,32369322,72937216,57559993,98757652,6.71%,4.41%,6.64%,4.35%
38,81068241,33966871,78037845,61067557,106712485,7.34%,5.03%,7.25%,4.94%
39,86906365,35629151,82695017,65152248,111697764,7.23%,4.92%,7.17%,4.87%
40,93136137,37361235,89158035,69360747,119377736,7.18%,4.87%,7.16%,4.85%
41,99391239,39012179,94207765,72804949,130945430,6.63%,4.33%,6.58%,4.29%
42,106576609,40932013,102402921,78128468,143436007,7.24%,4.93%,7.20%,4.90%
43,114516751,43034754,111815850,82120650,156279137,7.22%,4.91%,7.18%,4.87%
44,122825058,45163375,120232150,87167899,166072440,7.32%,5.01%,7.29%,4.98%
45,131553227,47331473,131174722,95043867,178935994,7.28%,4.97%,7.29%,4.98%
46,140895748,49601580,139941913,103755539,189710252,7.17%,4.86%,7.16%,4.85%
47,150646411,51892610,149350636,110875879,206935562,6.92%,4.62%,6.95%,4.64%
48,161146371,54314572,157861752,117395527,219877249,6.89%,4.59%,6.93%,4.63%
49,172946574,57037029,170472546,128166717,232085418,7.49%,5.17%,7.54%,5.22%
