Year,FedTax,StateTax,NIIT,Excise,TaxShortfall,RealizedGains,RMD,RMD FedTax,RMD StateTax,RMD NIIT,RMD Shortfall
1,0,0,0,0,0,0,0,,,,
2,0,0,0,0,0,0,0,,,,
3,0,0,0,0,0,0,0,,,,
4,0,0,0,0,0,0,0,,,,
5,0,0,0,0,0,0,0,,,,
6,0,0,0,0,0,0,0,,,,
7,0,0,0,0,0,0,0,,,,
8,0,0,0,0,0,0,0,,,,
9,0,0,0,0,0,0,0,,,,
10,0,0,0,0,0,0,0,,,,
11,0,0,0,0,0,0,0,,,,
12,0,0,0,0,0,0,0,,,,
13,0,0,0,0,0,0,0,,,,
14,0,0,0,0,0,0,0,,,,
15,0,0,0,0,0,0,0,,,,
16,0,0,0,0,0,0,0,,,,
17,0,0,0,0,0,0,0,,,,
18,0,0,0,0,0,0,0,,,,
19,0,0,0,0,0,0,0,,,,
20,0,0,0,0,0,0,0,,,,
21,0,0,0,0,0,0,0,,,,
22,0,0,0,0,0,0,0,,,,
23,0,0,0,0,0,0,0,,,,
24,0,0,0,0,0,0,0,,,,
25,0,0,0,0,0,0,0,,,,
26,0,0,0,0,0,0,0,,,,
27,0,0,0,0,0,0,0,,,,
28,0,0,0,0,0,0,0,,,,
29,0,0,0,0,0,0,0,,,,
30,204244,0,28649,0,0,0,785433,,,,
31,230019,0,31351,0,0,0,856527,,,,
32,254830,0,33932,0,0,0,924455,,,,
33,285283,0,37081,0,0,0,1007332,,,,
34,319601,0,40616,0,0,0,1100348,,,,
35,358409,0,44606,0,0,0,1205358,,,,
36,397382,0,48611,0,0,0,1310740,,,,
37,442648,0,53260,0,0,0,1433084,,,,
38,493171,0,58449,0,0,0,1569631,,,,
39,553628,0,64658,0,0,0,1733029,,,,
40,618163,0,71286,0,0,0,1907449,,,,
41,687486,0,78405,0,0,0,2094807,,,,
42,770066,0,86886,0,0,0,2317996,,,,
43,859513,0,96073,0,0,0,2559746,,,,
44,966936,0,107105,0,0,0,2850078,,,,
45,1080757,0,118795,0,0,0,3157702,,,,
46,1210627,0,132133,0,0,0,3508703,,,,
47,1358435,0,147313,0,0,0,3908183,,,,
48,1530677,0,165003,0,0,0,4373702,,,,
49,1719259,0,184371,0,0,0,4883384,,,,
