Year,CurrentMean,FutureMean,CurrentMedian,CurrentP10,CurrentP90,YoYNomWithW,YoYRealWithW,YoYInvNom,YoYInvReal
1,6018023,6198563,6000583,5764070,6272587,4.71%,1.66%,6.49%,3.39%
2,6160500,6535674,6140415,5766372,6624768,5.42%,2.35%,7.16%,4.04%
3,6374142,6917860,6368476,5896239,6883472,5.85%,3.47%,7.51%,5.10%
4,6563551,7287266,6542047,6061608,7085134,5.34%,2.98%,6.93%,4.53%
5,6749479,7666049,6734572,6082689,7371881,5.16%,2.79%,6.69%,4.29%
6,6964237,8091901,6912189,6224155,7880320,5.54%,3.17%,7.02%,4.61%
7,7223513,8586202,7121922,6429717,8373187,6.10%,3.72%,7.49%,5.07%
8,7526285,9151851,7456176,6596407,8688998,6.59%,4.20%,7.85%,5.43%
9,7857189,9773972,7739070,6862554,9038801,6.80%,4.40%,7.43%,5.02%
10,8260970,10512610,8133300,7042542,9494149,7.58%,5.16%,7.61%,5.19%
11,8703174,11341151,8668315,7573253,9878232,7.91%,5.38%,7.79%,5.27%
12,9113138,12160387,9104256,7837748,10384433,7.26%,4.74%,7.12%,4.61%
13,9607427,13127635,9647930,8231224,10984867,7.98%,5.45%,7.84%,5.31%
14,10065163,14083162,10076172,8510753,11711127,7.32%,4.81%,7.19%,4.67%
15,10422406,14933008,10400019,8794678,11956678,6.00%,3.51%,7.45%,4.93%
16,10700026,15698714,10555034,9040297,12284999,5.09%,2.62%,6.51%,4.01%
17,11039460,16585442,10987844,9204297,12685545,5.63%,3.15%,7.04%,4.53%
18,11391194,17524612,11357735,9441730,13336466,5.62%,3.14%,7.01%,4.50%
19,11734349,18485796,11670616,9522018,13590959,5.36%,2.89%,7.02%,4.51%
20,12006349,19368236,11873737,9746167,14506450,4.71%,2.26%,6.35%,3.86%
21,12405580,20452530,12174378,10112269,15310431,5.53%,3.26%,7.18%,4.88%
22,12768753,21514407,12510273,10202055,15933752,5.09%,2.82%,6.73%,4.44%
23,13231194,22784045,12750994,10502861,16295975,5.80%,3.52%,7.42%,5.10%
24,13723608,24151882,13229954,10783150,17179595,5.93%,3.65%,7.53%,5.22%
25,14230630,25595151,13782354,10955855,18227073,5.85%,3.57%,7.39%,5.08%
26,14798057,27201268,14292892,11183254,18744218,6.11%,3.83%,7.58%,5.26%
27,15311051,28763410,14917714,11918386,19667205,5.72%,3.44%,7.16%,4.86%
28,15879457,30487507,15437129,12135855,21135690,5.91%,3.63%,7.26%,4.95%
29,16385679,32151526,15684005,12558062,21731248,5.35%,3.08%,6.63%,4.34%
30,16860809,33811658,16332319,12252688,21881940,5.04%,2.78%,6.97%,4.67%
31,17265120,35384132,17009980,12810226,23152402,4.60%,2.35%,7.42%,5.11%
32,17558101,36776245,16861001,12956651,23234507,3.76%,1.52%,6.53%,4.24%
33,17917703,38355096,17163633,13267214,24317447,4.21%,1.97%,7.02%,4.72%
34,18292839,40019600,17510507,13784803,25207390,4.45%,2.20%,7.25%,4.94%
35,18705028,41821624,17455223,13566915,25992582,4.21%,1.97%,7.04%,4.73%
36,19034031,43493483,17921777,13569763,26169572,4.06%,1.82%,6.89%,4.59%
37,19335175,45153605,18378042,13670554,26501603,3.81%,1.58%,6.64%,4.35%
38,19750357,47137892,18451867,13760795,27673636,4.43%,2.18%,7.25%,4.94%
39,20172082,49203596,18841123,14056484,28039498,4.32%,2.08%,7.17%,4.87%
40,20590054,51328019,19399868,13662077,28836003,4.24%,2.00%,7.16%,4.85%
41,20938121,53344004,19840507,13881468,29576386,3.74%,1.50%,6.58%,4.29%
42,21388872,55691214,19918675,13892929,30387769,4.34%,2.09%,7.20%,4.90%
43,21912684,58310301,20677333,14076358,30988090,4.34%,2.10%,7.18%,4.87%
44,22405862,60934359,21105363,14329054,32186263,4.48%,2.23%,7.29%,4.98%
45,22861718,63541923,21986927,14687865,32507867,4.42%,2.18%,7.29%,4.98%
46,23345485,66314010,22750477,15506065,32884710,4.37%,2.12%,7.16%,4.85%
47,23807667,69114649,23098586,15915071,33843885,4.14%,1.90%,6.95%,4.64%
48,24319245,72152977,23206650,16414630,34888069,4.18%,1.94%,6.93%,4.63%
49,24907494,75524022,24004388,16503594,34978098,4.78%,2.52%,7.54%,5.22%
